JLPT Level,Grammar,Reading,Meaning,Word Type,Example Sentence JP,Example Sentence EN
N5,にいく,にいく,go to do,Unknown,私は山にいく。,I go to the mountain.
N5,にする,にする,to decide on,Numeric,何するの？,What are you doing?
N5,に/へ,に / へ,to (indicates direction / destination),Numeric,再来年、国へ帰ります。,I'm returning to my home country the year after next.
N5,の,の,possessive particle,Particle,あの…,Err...
N5,のです,のです,to explain something; show emphasis,"Expressions (phrases, clauses, etc.)",弟のです。,It's my brother's.
N5,のが下手,のがへた,to be bad at doing something,Particle,彼は名前を覚えるのが下手だ。,He is weak on names.
N5,のが上手,のがじょうず,to be good at,Particle,彼は歌うのが上手だ。,He is good at singing.
N5,のが好き,のがすき,to like doing something,Particle,歌うのが好きです。,I like to sing.
N5,の中で[A]が一番,のなかで[A]がいちばん,"out of this group, [A] is best",Particle,No example available,No example available
N5,ので,ので,because of; given that; since,Particle,弟のです。,It's my brother's.
N5,を,を,object marker particle,Particle,恥ずかしいよ！,That's embarrassing!
N5,をください,をください,please give me~,Particle,水をください。,"Can I have some water, please?"
N5,しかし,しかし,but; however,Conjunction,しかし、なぜ？,But why?
N5,すぎる,すぎる,too much,Ichidan verb,高すぎる！,It's too expensive!
N5,たことがある,たことがある,to have done something before,Noun,僕を見たことがある？,Have you seen me before?
N5,たい,たい,want to do something,Noun,絶対！,Absolutely!
N5,たり〜たり,たり〜たり,do such things as A and B,Particle,No example available,No example available
N5,てある,てある,is/has been done (resulting state),Wikipedia definition,予約してある。,I have a reservation.
N5,ている,ている,ongoing action or current state,Noun,馬鹿げている！,Nonsense!
N5,てから,てから,after doing~,Noun,食べてから寝たよ。,"After we ate, we went to sleep."
N5,てください,てください,please do,Noun,入ってください！,Come in.
N5,てはいけない,てはいけない,must not; may not; cannot,Noun,笑わないでください。,Don't laugh.
N5,てもいいです,てもいいです,is OK to..; is alright to..; may I..?,Noun,寝てもいいですか。,May I go to bed?
N5,と,と,and; with; as; connecting particle,Noun,本当？,Are you sure?
N5,とき,とき,when; at this time,Noun,時は金なり。,Time is money.
N5,とても,とても,very; awfully; exceedingly,Adverb (fukushi),とても高い。,It's very high.
N5,つもり,つもり,plan to ~; intend to ~,Noun,何するつもり？,What do you intend to do?
N5,は,は,topic marker,Particle,早く！,Hurry up.
N5,は〜より・・・です,は〜より・・・です,[A] is more ~ than [B],Particle,No example available,No example available
N5,はどうですか,はどうですか,how about; how is,Particle,腕はどうですか？,How's your arm?
N5,や,や,and; or; connecting particle,Noun,嫌だ！,No!
N5,よ,よ,you know; emphasis (ending particle),Noun,私よ！,It's me!
N5,より〜ほうが,より〜ほうが,[A] is more than [B],Particle,No example available,No example available
