JLPT,Word,Reading,Meaning,Word Type,Example Sentence JP,Example Sentence EN,breakdown
N5,何～,なん～,what kind of ~,Pronoun,何の本を読みますか？,What kind of book will you read?,"{""vocabulary"": [{""word"": ""何"", ""reading"": ""なに"", ""meaning"": ""what"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Nominalizer/Particle]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""本"", ""reading"": ""ほん"", ""meaning"": ""book"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""読みます"", ""reading"": ""よみます"", ""meaning"": ""will read"", ""role"": ""Verb, polite form"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""か"", ""reading"": ""か"", ""meaning"": ""[Question Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a question asking someone about the type of book they intend to read. It is a polite inquiry that seeks specific information about the subject's reading choice."", ""steps"": [""**何** - Asks for information, meaning “what.”"", ""**の** - Connects the question word to the noun, indicating that “what” is describing the type of book."", ""**本** - The noun that refers to “book.”"", ""**を** - Marks “本” as the object of the verb, indicating what is being read."", ""**読みます** - The polite form of the verb “読む” (to read), indicating future intention or habitual action."", ""**か** - Indicates that the sentence is a question.""], ""sentence_pattern"": ""- [何] + [の] + [Noun] + [を] + [Verb] + [か]\n- **Kanji**: 何の映画を見ますか？\n- **Hiragana**: なんのえいがをみますか？\n- **English Translation**: What kind of movie will you watch?"", ""sentence_pattern_kanji"": ""何の映画を見ますか？"", ""sentence_pattern_hiragana"": ""なんのえいがをみますか？"", ""sentence_pattern_english"": ""What kind of movie will you watch?"", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that 何の is used to ask about the type or kind of something, making it a useful phrase for inquiries about categories or specifics."", ""common_mistake"": ""Beginners might confuse the use of の with other particles. Remember that の is used here to connect the question word 何 with the noun 本, indicating the type of book."", ""alternative_expression"": {""kanji"": ""どんな本を読みますか？"", ""hiragana"": ""どんなほんをよみますか？"", ""english"": ""What kind of book will you read?""}, ""new_words_in_alternative"": [{""word"": ""どんな"", ""reading"": ""どんな"", ""meaning"": ""what kind of"", ""description"": ""Adjective""}]}}"
N5,ほうがいい,ほうがいい,should; had better; it would be better to,Expression,早く寝たほうがいいよ。,You should go to bed early.,"{""vocabulary"": [{""word"": ""早く"", ""reading"": ""はやく"", ""meaning"": ""early"", ""role"": ""Adverb"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""寝た"", ""reading"": ""ねた"", ""meaning"": ""went to bed"", ""role"": ""Verb, past tense"", ""components"": [{""part"": ""寝る"", ""reading"": ""ねる"", ""meaning"": ""to sleep"", ""contribution"": ""Verb""}, {""part"": ""ほう"", ""reading"": ""ほう"", ""meaning"": ""direction / way"", ""contribution"": ""Noun""}, {""part"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""contribution"": ""Particle""}, {""part"": ""いい"", ""reading"": ""いい"", ""meaning"": ""good"", ""contribution"": ""Adjective""}, {""part"": ""よ"", ""reading"": ""よ"", ""meaning"": ""[Sentence-ending particle for emphasis]"", ""contribution"": ""Particle""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence suggests that going to bed early is a good idea. It implies that the speaker is giving advice or a recommendation to someone."", ""steps"": [""**早く** - Modifies the verb to indicate the action should be done early."", ""**寝た** - The past tense of “寝る,” indicating the action of going to bed."", ""**ほう** - Indicates a direction or way, often used in expressions of recommendation."", ""**が** - Marks “ほう” as the subject of the sentence."", ""**いい** - Describes the subject, indicating that it is a good idea."", ""**よ** - Adds emphasis to the statement, making it more conversational.""], ""sentence_pattern"": ""- [Adverb] + [Verb (past tense)] + [ほう] + [が] + [いい] + [よ]\n- **Kanji**: 早く寝たほうがいい。\n- **Hiragana**: はやくねたほうがいい。\n- **English Translation**: It’s better to go to bed early."", ""sentence_pattern_kanji"": ""早く寝たほうがいい。"", ""sentence_pattern_hiragana"": ""はやくねたほうがいい。"", ""sentence_pattern_english"": ""It’s better to go to bed early."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that ほう is used to indicate a recommendation or preference. When combined with いい, it suggests that the action is a good choice."", ""common_mistake"": ""Beginners might confuse the use of た (past tense) with the present tense. In this context, it is used to suggest a recommendation based on the action of having gone to bed."", ""alternative_expression"": {""kanji"": ""早く寝たほうが良いよ。"", ""hiragana"": ""はやくねたほうがいいよ。"", ""english"": ""You should go to bed early.""}, ""new_words_in_alternative"": [{""word"": ""良い"", ""reading"": ""よい"", ""meaning"": ""good"", ""description"": ""Adjective""}]}}"
N5,い-adjectives,いけいようし,い形容詞 (いけいようし)は、形容詞の一種で、語尾が「い」で終わる言葉です。,Adjective category,この花はきれいです。,This flower is beautiful.,"{""vocabulary"": [{""word"": ""この"", ""reading"": ""この"", ""meaning"": ""this"", ""role"": ""Demonstrative adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""花"", ""reading"": ""はな"", ""meaning"": ""flower"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""きれい"", ""reading"": ""きれい"", ""meaning"": ""beautiful"", ""role"": ""Adjective"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""[Polite ending particle]"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a specific flower, stating that it is beautiful. It is a simple declarative sentence that expresses an opinion about the flower."", ""steps"": [""**この** - Specifies which flower is being referred to, indicating proximity."", ""**花** - The subject of the sentence, which is the flower."", ""**は** - Marks “花” as the topic of the sentence."", ""**きれい** - An adjective that describes the flower."", ""**です** - A polite ending that completes the sentence, making it formal.""], ""sentence_pattern"": ""- [Demonstrative] + [Noun] + [は] + [Adjective] + [です]\n- **Kanji**: その花は美しいです。\n- **Hiragana**: そのはなはうつくしいです。\n- **English Translation**: That flower is beautiful."", ""sentence_pattern_kanji"": ""その花は美しいです。"", ""sentence_pattern_hiragana"": ""そのはなはうつくしいです。"", ""sentence_pattern_english"": ""That flower is beautiful."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that この is used for things that are close to the speaker, while その is used for things that are closer to the listener. This can help you choose the correct demonstrative."", ""common_mistake"": ""Beginners often forget to use です at the end of sentences when they want to sound polite. Always include it in formal contexts."", ""alternative_expression"": {""kanji"": ""この花は美しいです。"", ""hiragana"": ""このはなはうつくしいです。"", ""english"": ""This flower is beautiful.""}, ""new_words_in_alternative"": [{""word"": ""美しい"", ""reading"": ""うつくしい"", ""meaning"": ""beautiful"", ""description"": ""Adjective""}]}}"
N5,じゃない・ではない,じゃない / ではない,to not be (am not; is not; are not),Auxiliary verb (negative copula),これはペンじゃない。,This is not a pen.,"{""vocabulary"": [{""word"": ""これ"", ""reading"": ""これ"", ""meaning"": ""this"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ペン"", ""reading"": ""ぺん"", ""meaning"": ""pen"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""じゃない"", ""reading"": ""じゃない"", ""meaning"": ""is not"", ""role"": ""Verb, negative form"", ""components"": [{""part"": ""ない"", ""reading"": ""ない"", ""meaning"": ""not"", ""contribution"": ""Negative form of the verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is used to clarify that the object being referred to (this) is not a pen. It is a straightforward negation of identity."", ""steps"": [""**これ** - Refers to the object being discussed, in this case, \""this.\"""", ""**は** - Marks \""これ\"" as the topic of the sentence."", ""**ペン** - Specifies what the topic is being compared to, which is \""pen.\"""", ""**じゃない** - Indicates that the subject is not the specified noun (pen).""], ""sentence_pattern"": ""- [Topic] + [は] + [Noun] + [じゃない]\n- **Kanji**: これは猫じゃない。\n- **Hiragana**: これはねこじゃない。\n- **English Translation**: This is not a cat."", ""sentence_pattern_kanji"": ""これは猫じゃない。"", ""sentence_pattern_hiragana"": ""これはねこじゃない。"", ""sentence_pattern_english"": ""This is not a cat."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that **じゃない** is a casual way to say \""is not.\"" In more formal contexts, you might use **ではない** instead."", ""common_mistake"": ""Beginners often confuse **じゃない** with **じゃ**. Remember that **じゃない** is the full negation, while **じゃ** alone does not convey negation."", ""alternative_expression"": {""kanji"": ""これはペンではない。"", ""hiragana"": ""これはぺんではない。"", ""english"": ""This is not a pen (more formal).""}, ""new_words_in_alternative"": []}}"
N5,か,か,question particle used at the end of a sentence to indicate a question,Particle,これはペンですか？,Is this a pen?,"{""vocabulary"": [{""word"": ""これ"", ""reading"": ""これ"", ""meaning"": ""this"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ペン"", ""reading"": ""ぺん"", ""meaning"": ""pen"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""か"", ""reading"": ""か"", ""meaning"": ""[Question Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a simple question asking whether the object being referred to (indicated by \""これ\"") is a pen. It is a straightforward inquiry about the identity of an item."", ""steps"": [""**これ** - Refers to the object that is close to the speaker, meaning \""this.\"""", ""**は** - Marks \""これ\"" as the topic of the sentence."", ""**ペン** - Specifies the item in question, which is \""pen.\"""", ""**です** - A polite form of the verb \""to be,\"" used here to link the subject and predicate."", ""**か** - Indicates that the sentence is a question.""], ""sentence_pattern"": ""- [Topic] + [は] + [Noun] + [です] + [か]\n- **Kanji**: これは本ですか？\n- **Hiragana**: これはほんですか？\n- **English Translation**: Is this a book?"", ""sentence_pattern_kanji"": ""これは本ですか？"", ""sentence_pattern_hiragana"": ""これはほんですか？"", ""sentence_pattern_english"": ""Is this a book?"", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that は marks the topic of the sentence, which is what you are talking about. In this case, it indicates that \""this\"" is the topic of discussion."", ""common_mistake"": ""Beginners often forget to use か at the end of a question. Always remember to include it to indicate that you are asking a question."", ""alternative_expression"": {""kanji"": ""これはペンです。"", ""hiragana"": ""これはぺんです。"", ""english"": ""This is a pen.""}, ""new_words_in_alternative"": [{""word"": ""これ"", ""reading"": ""これ"", ""meaning"": ""this"", ""description"": ""Pronoun""}]}}"
N5,か〜か,か〜か,or (used to connect alternatives),Particle,りんごかバナナをください。,Please give me either an apple or a banana.,"{""vocabulary"": [{""word"": ""りんご"", ""reading"": ""りんご"", ""meaning"": ""apple"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""か"", ""reading"": ""か"", ""meaning"": ""or"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""バナナ"", ""reading"": ""ばなな"", ""meaning"": ""banana"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""ください"", ""reading"": ""ください"", ""meaning"": ""please give (me)"", ""role"": ""Verb, polite request"", ""components"": [{""part"": ""くれる"", ""reading"": ""くれる"", ""meaning"": ""to give"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite request for either an apple or a banana. It shows the speaker's desire to receive one of the two options."", ""steps"": [""**りんご** - Refers to the first option, “apple.”"", ""**か** - Indicates a choice between two items, meaning “or.”"", ""**バナナ** - Refers to the second option, “banana.”"", ""**を** - Marks the direct object of the verb, indicating what is being requested."", ""**ください** - A polite request form of the verb “くれる,” meaning “please give (me).”""], ""sentence_pattern"": ""- [Option 1] + [か] + [Option 2] + [を] + [Verb (request)]\n- **Kanji**: りんごかバナナをください。\n- **Hiragana**: りんごかばななをください。\n- **English Translation**: Please give me either an apple or a banana."", ""sentence_pattern_kanji"": ""りんごかバナナをください。"", ""sentence_pattern_hiragana"": ""りんごかばななをください。"", ""sentence_pattern_english"": ""Please give me either an apple or a banana."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that か is used to indicate a choice between two options. It’s similar to saying “or” in English, making it easy to remember."", ""common_mistake"": ""Beginners might forget to use を when making a request. Always include を to mark the object of the verb when asking for something."", ""alternative_expression"": {""kanji"": ""りんごかバナナをちょうだい。"", ""hiragana"": ""りんごかばななをちょうだい。"", ""english"": ""Please give me either an apple or a banana.""}, ""new_words_in_alternative"": [{""word"": ""ちょうだい"", ""reading"": ""ちょうだい"", ""meaning"": ""please give (me)"", ""description"": ""Verb, informal request""}]}}"
N5,から,から,because; since; from,Particle,今日は雨だから、家にいます。,I'm staying home because it's raining today.,"{""vocabulary"": [{""word"": ""今日"", ""reading"": ""きょう"", ""meaning"": ""today"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""雨"", ""reading"": ""あめ"", ""meaning"": ""rain"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""だから"", ""reading"": ""だから"", ""meaning"": ""because"", ""role"": ""Conjunction"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""家"", ""reading"": ""いえ"", ""meaning"": ""home"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""に"", ""reading"": ""に"", ""meaning"": ""[Direction/Location Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""います"", ""reading"": ""います"", ""meaning"": ""am staying"", ""role"": ""Verb, non-past"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence conveys that the speaker is choosing to stay at home due to the rain occurring today. It explains the reason for their action."", ""steps"": [""**今日** - Refers to the current day, marking the time of the action."", ""**は** - Marks “今日” as the topic of the sentence."", ""**雨** - Indicates the weather condition affecting the speaker's decision."", ""**だから** - Provides a reason for the action, meaning “because.”"", ""**家** - Refers to the place where the speaker is staying."", ""**に** - Indicates the direction or location of the action."", ""**います** - The polite form of “いる,” indicating the speaker's current state of being.""], ""sentence_pattern"": ""- [Topic] + [は] + [Noun] + [だから] + [Noun] + [に] + [Verb (non-past)]\n- **Kanji**: 今日は忙しいから、家にいます。\n- **Hiragana**: きょうはいそがしいから、いえにいます。\n- **English Translation**: I'm staying home because I'm busy today."", ""sentence_pattern_kanji"": ""今日は忙しいから、家にいます。"", ""sentence_pattern_hiragana"": ""きょうはいそがしいから、いえにいます。"", ""sentence_pattern_english"": ""I'm staying home because I'm busy today."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that だから is used to connect a reason to an action, making it clear why something is happening. It’s a useful conjunction for explaining decisions."", ""common_mistake"": ""Beginners might confuse に with へ. Remember that に indicates a location where you are staying or going, while へ indicates direction towards a place."", ""alternative_expression"": {""kanji"": ""雨が降っているから、家にいます。"", ""hiragana"": ""あめがふっているから、いえにいます。"", ""english"": ""I'm staying home because it's raining.""}, ""new_words_in_alternative"": [{""word"": ""降っている"", ""reading"": ""ふっている"", ""meaning"": ""is falling"", ""description"": ""Verb, non-past progressive""}]}}"
N5,方,かた,the way of doing something; how to do,Noun,この料理の作り方を教えてください。,Please teach me how to make this dish.,"{""vocabulary"": [{""word"": ""この"", ""reading"": ""この"", ""meaning"": ""this"", ""role"": ""Demonstrative adjective"", ""components"": [], ""combined_explanation"": "" **料理 (りょうり)**: “dish” or “cuisine” - [Noun]""}, {""word"": ""の"", ""reading"": ""の"", ""meaning"": ""[Possessive/Attributive particle]"", ""role"": ""Particle"", ""components"": [{""part"": ""作り"", ""reading"": ""つくり"", ""meaning"": ""making"", ""contribution"": ""Noun, stem form of the verb 作る (つくる), meaning “to make”""}], ""combined_explanation"": """"}, {""word"": ""を"", ""reading"": ""を"", ""meaning"": ""[Object Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""教えて"", ""reading"": ""おしえて"", ""meaning"": ""teach"", ""role"": ""Verb, te-form"", ""components"": [{""part"": ""教える"", ""reading"": ""おしえる"", ""meaning"": ""to teach"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}, {""word"": ""ください"", ""reading"": ""ください"", ""meaning"": ""please"", ""role"": ""Polite request expression"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence is a polite request asking someone to explain how to prepare a specific dish. It combines elements of possession, action, and politeness."", ""steps"": [""**この** - Specifies the noun (料理) as “this” dish."", ""**料理** - The main noun, meaning “dish” or “cuisine.”"", ""**の** - Indicates that 作り方 is describing the way of making the dish."", ""**作り方** - Refers to the method or way of making the dish."", ""**を** - Marks 作り方 as the object of the verb 教えて."", ""**教えて** - The te-form of the verb 教える, used here to make a request."", ""**ください** - A polite way to ask for something, translating to “please.”""], ""sentence_pattern"": ""- [Demonstrative] + [Noun] + [の] + [Noun] + [を] + [Verb (te-form)] + [Polite request]\n- **Kanji**: この料理の作り方を教えてください。\n- **Hiragana**: このりょうりのつくりかたをおしえてください。\n- **English Translation**: Please teach me how to make this dish."", ""sentence_pattern_kanji"": ""この料理の作り方を教えてください。"", ""sentence_pattern_hiragana"": ""このりょうりのつくりかたをおしえてください。"", ""sentence_pattern_english"": ""Please teach me how to make this dish."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that の is used to connect nouns, indicating possession or description. In this case, it connects “this dish” and “way of making.”"", ""common_mistake"": ""Beginners often confuse the use of を and は. In this sentence, を is used to mark the object of the verb 教えて, while は would indicate the topic of the sentence."", ""alternative_expression"": {""kanji"": ""この料理の作り方を教えてもらえますか？"", ""hiragana"": ""このりょうりのつくりかたをおしえてもらえますか？"", ""english"": ""Could you teach me how to make this dish?""}, ""new_words_in_alternative"": []}}"
N5,けど,けど,but; however; although,Conjunction,今日は雨が降っていますけど、明日は晴れるでしょう。,"It is raining today, but it will probably be sunny tomorrow.","{""vocabulary"": [{""word"": ""今日"", ""reading"": ""きょう"", ""meaning"": ""today"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""雨"", ""reading"": ""あめ"", ""meaning"": ""rain"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""降っています"", ""reading"": ""ふっています"", ""meaning"": ""is raining"", ""role"": ""Verb, present continuous"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""けど"", ""reading"": ""けど"", ""meaning"": ""but"", ""role"": ""Conjunction"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""明日"", ""reading"": ""あした"", ""meaning"": ""tomorrow"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""晴れる"", ""reading"": ""はれる"", ""meaning"": ""will be sunny"", ""role"": ""Verb, non-past"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""でしょう"", ""reading"": ""でしょう"", ""meaning"": ""probably"", ""role"": ""Sentence-ending particle"", ""components"": [], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes the current weather situation, indicating that it is raining today, while also predicting that it will likely be sunny tomorrow. It contrasts the two different weather conditions."", ""steps"": [""**今日** - Refers to the current day, marked as the topic with **は**."", ""**雨が降っています** - Indicates that rain is currently falling, with **が** marking \""rain\"" as the subject and **降っています** showing the continuous action."", ""**けど** - Serves as a conjunction to contrast the two clauses."", ""**明日** - Refers to the next day, also marked as the topic with **は**."", ""**晴れるでしょう** - Indicates a prediction about tomorrow's weather, with **晴れる** as the verb and **でしょう** adding a sense of probability.""], ""sentence_pattern"": ""- [Topic 1] + [は] + [Subject] + [Verb (present continuous)] + [けど] + [Topic 2] + [は] + [Verb (non-past)] + [でしょう]\n- **Kanji**: 今日は風が強いけど、明日は穏やかでしょう。\n- **Hiragana**: きょうはかぜがつよいけど、あしたはおだやかでしょう。\n- **English Translation**: It is windy today, but it will probably be calm tomorrow."", ""sentence_pattern_kanji"": ""今日は風が強いけど、明日は穏やかでしょう。"", ""sentence_pattern_hiragana"": ""きょうはかぜがつよいけど、あしたはおだやかでしょう。"", ""sentence_pattern_english"": ""It is windy today, but it will probably be calm tomorrow."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that **は** marks the topic of the sentence, which helps to clarify what you are talking about. In this case, it distinguishes between today and tomorrow."", ""common_mistake"": ""Beginners often confuse **が** and **は**. Use **が** to mark the subject of the verb (the rain that is falling), while **は** marks the topic of the sentence."", ""alternative_expression"": {""kanji"": ""今日は雨が降っているけれど、明日は晴れると思います。"", ""hiragana"": ""きょうはあめがふっているけれど、あしたははれるとおもいます。"", ""english"": ""It is raining today, but I think it will be sunny tomorrow.""}, ""new_words_in_alternative"": [{""word"": ""と思います"", ""reading"": ""とおもいます"", ""meaning"": ""I think"", ""description"": ""Phrase""}]}}"
N5,けれども,けれども,but; however; although,Conjunction,今日は雨が降っていますけれども、出かけます。,"It is raining today, but I will go out.","{""vocabulary"": [{""word"": ""今日"", ""reading"": ""きょう"", ""meaning"": ""today"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""雨"", ""reading"": ""あめ"", ""meaning"": ""rain"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""が"", ""reading"": ""が"", ""meaning"": ""[Subject Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""降っています"", ""reading"": ""ふっています"", ""meaning"": ""is raining"", ""role"": ""Verb, present continuous"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""けれども"", ""reading"": ""けれども"", ""meaning"": ""but"", ""role"": ""Conjunction"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""出かけます"", ""reading"": ""でかけます"", ""meaning"": ""will go out"", ""role"": ""Verb, non-past polite form"", ""components"": [{""part"": ""出かける"", ""reading"": ""でかける"", ""meaning"": ""to go out"", ""contribution"": ""Verb""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence describes a situation where it is currently raining, but the speaker has decided to go out regardless of the weather. It contrasts the current condition with the speaker's intention."", ""steps"": [""**今日** - Refers to the current day, marking the time of the statement."", ""**は** - Marks “今日” as the topic of the sentence."", ""**雨** - Indicates the subject of the action, which is rain."", ""**が** - Marks “雨” as the subject of the verb."", ""**降っています** - The present continuous form of “降る” (to fall), indicating that rain is currently happening."", ""**けれども** - A conjunction that introduces a contrast, meaning “but.”"", ""**出かけます** - The polite non-past form of “出かける,” indicating the speaker's intention to go out in the future.""], ""sentence_pattern"": ""- [Topic] + [は] + [Subject] + [が] + [Verb (present continuous)] + [けれども] + [Verb (non-past)]\n- **Kanji**: 今日は雨が降っていますけれども、出かけます。\n- **Hiragana**: きょうはあめがふっていますけれども、でかけます。\n- **English Translation**: It is raining today, but I will go out."", ""sentence_pattern_kanji"": ""今日は雨が降っていますけれども、出かけます。"", ""sentence_pattern_hiragana"": ""きょうはあめがふっていますけれども、でかけます。"", ""sentence_pattern_english"": ""It is raining today, but I will go out."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that けれども is used to contrast two ideas. It helps to think of it as “even though” or “but” to connect the two clauses smoothly."", ""common_mistake"": ""Beginners often confuse the use of は and が. In this context, は is used to mark the topic (today), while が is used to mark the subject of the action (rain)."", ""alternative_expression"": {""kanji"": ""今日は雨が降っていますが、出かけます。"", ""hiragana"": ""きょうはあめがふっていますが、でかけます。"", ""english"": ""It is raining today, but I will go out.""}, ""new_words_in_alternative"": [{""word"": ""が"", ""reading"": ""が"", ""meaning"": ""but"", ""description"": ""Conjunction""}]}}"
N5,～中,～じゅう,"during, while",Noun,私は勉強中です。,I am studying.,"{""vocabulary"": [{""word"": ""私"", ""reading"": ""わたし"", ""meaning"": ""I"", ""role"": ""Pronoun"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""は"", ""reading"": ""は"", ""meaning"": ""[Topic Marker]"", ""role"": ""Particle"", ""components"": [], ""combined_explanation"": """"}, {""word"": ""勉強"", ""reading"": ""べんきょう"", ""meaning"": ""study"", ""role"": ""Noun"", ""components"": [], ""combined_explanation"": "" **中 (ちゅう)**: “during” or “in the middle of” - [Noun/Particle]""}, {""word"": ""です"", ""reading"": ""です"", ""meaning"": ""is"", ""role"": ""Copula/Verb"", ""components"": [{""part"": ""勉"", ""reading"": ""べん"", ""meaning"": ""diligent"", ""contribution"": ""Kanji component""}, {""part"": ""強"", ""reading"": ""きょう"", ""meaning"": ""strong"", ""contribution"": ""Kanji component""}], ""combined_explanation"": """"}], ""grammar"": {""context"": ""This sentence expresses that the speaker is currently engaged in the act of studying. It indicates an ongoing action, emphasizing the present state of being involved in study."", ""steps"": [""**私** - Refers to the speaker, “I.”"", ""**は** - Marks “私” as the topic of the sentence."", ""**勉強** - Indicates the action of studying."", ""**中** - Indicates that the action is ongoing, meaning “in the middle of.”"", ""**です** - A polite ending particle that functions as the verb “is,” confirming the state of being.""], ""sentence_pattern"": ""- [Topic] + [は] + [Noun] + [中] + [です]\n- **Kanji**: 彼は仕事中です。\n- **Hiragana**: かれはしごとちゅうです。\n- **English Translation**: He is at work."", ""sentence_pattern_kanji"": ""彼は仕事中です。"", ""sentence_pattern_hiragana"": ""かれはしごとちゅうです。"", ""sentence_pattern_english"": ""He is at work."", ""contribution"": """"}, ""tips"": {""tip"": ""Remember that 中 indicates an ongoing action, so when you see it with a noun like 勉強, it means you are currently engaged in that activity."", ""common_mistake"": ""Beginners might confuse 中 with other similar-sounding words. Remember that 中 specifically indicates “in the middle of” or “during” an action."", ""alternative_expression"": {""kanji"": ""私は勉強しています。"", ""hiragana"": ""わたしはべんきょうしています。"", ""english"": ""I am studying.""}, ""new_words_in_alternative"": [{""word"": ""している"", ""reading"": ""している"", ""meaning"": ""am doing"", ""description"": ""Verb, present continuous form""}]}}"
