issue,details
answer_mismatch,id=1f31fd11-84e7-425d-8f73-fde64c658435 line=582 answer='五匹' expected='～匹'
answer_mismatch,id=e0b796ae-0d44-47a2-b712-6aef89e734d3 line=583 answer='一杯' expected='～杯'
answer_mismatch,id=e0b796ae-0d44-47a2-b712-6aef89e734d3 line=584 answer='二杯' expected='～杯'
answer_mismatch,id=e0b796ae-0d44-47a2-b712-6aef89e734d3 line=585 answer='三杯' expected='～杯'
answer_mismatch,id=8b386a7b-3b70-41ec-a25e-0a760701c2cf line=589 answer='三日' expected='～日'
answer_mismatch,id=8b386a7b-3b70-41ec-a25e-0a760701c2cf line=590 answer='五日' expected='～日'
answer_mismatch,id=8b386a7b-3b70-41ec-a25e-0a760701c2cf line=591 answer='十日' expected='～日'
answer_mismatch,id=b3103136-c403-4131-b7ad-cfb86d9bdc63 line=592 answer='年' expected='～年'
answer_mismatch,id=b3103136-c403-4131-b7ad-cfb86d9bdc63 line=593 answer='年' expected='～年'
answer_mismatch,id=b3103136-c403-4131-b7ad-cfb86d9bdc63 line=594 answer='年' expected='～年'
answer_mismatch,id=c05f739c-9ce9-474a-9358-927d40cb4cb8 line=607 answer='千円' expected='～円'
answer_mismatch,id=c05f739c-9ce9-474a-9358-927d40cb4cb8 line=608 answer='五百円' expected='～円'
answer_mismatch,id=c05f739c-9ce9-474a-9358-927d40cb4cb8 line=609 answer='二万円' expected='～円'
answer_mismatch,id=c7bc46ba-4876-440b-a1cd-3d18d917cd2a line=613 answer='行き' expected='～度'
answer_mismatch,id=c7bc46ba-4876-440b-a1cd-3d18d917cd2a line=614 answer='映画' expected='～度'
answer_mismatch,id=c7bc46ba-4876-440b-a1cd-3d18d917cd2a line=615 answer='日本語' expected='～度'
answer_mismatch,id=98abfbbb-f1ac-4b7d-8b0c-b01cf7cee6e2 line=622 answer='人' expected='～人'
answer_mismatch,id=98abfbbb-f1ac-4b7d-8b0c-b01cf7cee6e2 line=623 answer='人' expected='～人'
answer_mismatch,id=98abfbbb-f1ac-4b7d-8b0c-b01cf7cee6e2 line=624 answer='人' expected='～人'
answer_mismatch,id=a60b2b22-4f08-4a68-be9a-9ba8db74fe2a line=625 answer='三冊' expected='～冊'
answer_mismatch,id=a60b2b22-4f08-4a68-be9a-9ba8db74fe2a line=626 answer='五冊' expected='～冊'
answer_mismatch,id=a60b2b22-4f08-4a68-be9a-9ba8db74fe2a line=627 answer='二冊' expected='～冊'
answer_mismatch,id=561025a0-1dd3-4c76-a5b5-f17a809093fd line=643 answer='一番' expected='～番'
answer_mismatch,id=561025a0-1dd3-4c76-a5b5-f17a809093fd line=644 answer='三番' expected='～番'
answer_mismatch,id=561025a0-1dd3-4c76-a5b5-f17a809093fd line=645 answer='二番' expected='～番'
answer_mismatch,id=3cd3ff38-3113-42e5-86fd-aca60be281c6 line=649 answer='三か月' expected='～か月'
answer_mismatch,id=3cd3ff38-3113-42e5-86fd-aca60be281c6 line=650 answer='六か月' expected='～か月'
answer_mismatch,id=3cd3ff38-3113-42e5-86fd-aca60be281c6 line=651 answer='二か月' expected='～か月'
answer_mismatch,id=9b33eb99-2d38-4d2e-ad9b-11c97187e43f line=661 answer='名前' expected='ずつ'
answer_mismatch,id=9b33eb99-2d38-4d2e-ad9b-11c97187e43f line=662 answer='おもちゃ' expected='ずつ'
answer_mismatch,id=9b33eb99-2d38-4d2e-ad9b-11c97187e43f line=663 answer='日本語' expected='ずつ'
answer_mismatch,id=5793a8e2-fb0e-467c-b242-af7eeb8a1034 line=667 answer='この' expected='[B]より[A]ほうが'
answer_mismatch,id=5793a8e2-fb0e-467c-b242-af7eeb8a1034 line=668 answer='彼' expected='[B]より[A]ほうが'
answer_mismatch,id=5793a8e2-fb0e-467c-b242-af7eeb8a1034 line=669 answer='この' expected='[B]より[A]ほうが'
answer_mismatch,id=d0a22160-e250-4e44-9961-56e2632b97db line=685 answer='三枚' expected='～枚'
answer_mismatch,id=d0a22160-e250-4e44-9961-56e2632b97db line=686 answer='五枚' expected='～枚'
answer_mismatch,id=d0a22160-e250-4e44-9961-56e2632b97db line=687 answer='二枚' expected='～枚'
answer_mismatch,id=bad50968-0b7d-4c98-962b-e52a70a186fb line=691 answer='バナナ' expected='の中で[A]が一番'
answer_mismatch,id=bad50968-0b7d-4c98-962b-e52a70a186fb line=692 answer='犬' expected='の中で[A]が一番'
answer_mismatch,id=bad50968-0b7d-4c98-962b-e52a70a186fb line=693 answer='サッカー' expected='の中で[A]が一番'
answer_mismatch,id=a4e45b6b-a4f1-4a94-9de0-4421ead1498b line=706 answer='時間' expected='～時間'
answer_mismatch,id=a4e45b6b-a4f1-4a94-9de0-4421ead1498b line=707 answer='時間' expected='～時間'
answer_mismatch,id=a4e45b6b-a4f1-4a94-9de0-4421ead1498b line=708 answer='時間' expected='～時間'
answer_mismatch,id=55793a01-166c-484e-b28f-b2896427a538 line=715 answer='五時半' expected='半'
answer_mismatch,id=55793a01-166c-484e-b28f-b2896427a538 line=716 answer='半分' expected='半'
answer_mismatch,id=55793a01-166c-484e-b28f-b2896427a538 line=717 answer='三分の一' expected='半'
answer_mismatch,id=90d376f7-9fde-4979-b8ec-fd282109c231 line=722 answer='いくつ' expected='いくら'
answer_mismatch,id=8d9cfdbb-1484-4fce-976e-545d9ca96cac line=727 answer='二百グラム' expected='グラム'
answer_mismatch,id=8d9cfdbb-1484-4fce-976e-545d9ca96cac line=728 answer='五百グラム' expected='グラム'
answer_mismatch,id=8d9cfdbb-1484-4fce-976e-545d9ca96cac line=729 answer='一キログラム' expected='グラム'
answer_mismatch,id=9eade8ed-0467-404f-bbc7-f2889055689d line=736 answer='旅行' expected='さ来年'
answer_mismatch,id=82addc58-4924-4b58-8c8c-c85f4d0dae20 line=739 answer='階' expected='～階'
answer_mismatch,id=82addc58-4924-4b58-8c8c-c85f4d0dae20 line=740 answer='階' expected='～階'
answer_mismatch,id=82addc58-4924-4b58-8c8c-c85f4d0dae20 line=741 answer='階' expected='～階'
answer_mismatch,id=f1686fe6-99ea-44b3-8775-4cd451cec82f line=742 answer='十分' expected='～分'
answer_mismatch,id=f1686fe6-99ea-44b3-8775-4cd451cec82f line=743 answer='五分' expected='～分'
answer_mismatch,id=f1686fe6-99ea-44b3-8775-4cd451cec82f line=744 answer='三十分' expected='～分'
answer_mismatch,id=35e962b2-8e86-4407-9b07-488efb582d7f line=748 answer='話さないで' expected='ないでください'
answer_mismatch,id=35e962b2-8e86-4407-9b07-488efb582d7f line=749 answer='読まないで' expected='ないでください'
answer_mismatch,id=35e962b2-8e86-4407-9b07-488efb582d7f line=750 answer='ください' expected='ないでください'
answer_mismatch,id=99ae7ee5-7743-4bda-9ac5-c108e3f0fc95 line=763 answer='三個' expected='～個'
answer_mismatch,id=99ae7ee5-7743-4bda-9ac5-c108e3f0fc95 line=764 answer='二個' expected='～個'
answer_mismatch,id=99ae7ee5-7743-4bda-9ac5-c108e3f0fc95 line=765 answer='四個' expected='～個'
answer_mismatch,id=0ae605d6-a7bd-41c9-b306-13debe9762a5 line=793 answer='しなくちゃ' expected='なくちゃ'
answer_mismatch,id=2af139e5-1944-4ead-acbe-3de38ead4252 line=826 answer='たり' expected='たり〜たり'
answer_mismatch,id=2af139e5-1944-4ead-acbe-3de38ead4252 line=827 answer='たり' expected='たり〜たり'
answer_mismatch,id=2af139e5-1944-4ead-acbe-3de38ead4252 line=828 answer='たり' expected='たり〜たり'
answer_mismatch,id=cdfa8a0e-9c78-44ea-bc26-0cf004133b6f line=835 answer='本屋' expected='～屋'
answer_mismatch,id=cdfa8a0e-9c78-44ea-bc26-0cf004133b6f line=836 answer='花屋' expected='～屋'
answer_mismatch,id=cdfa8a0e-9c78-44ea-bc26-0cf004133b6f line=837 answer='肉屋' expected='～屋'
answer_mismatch,id=0ce23bae-60b8-4e10-b7c2-97f4fba19b66 line=943 answer='教えます' expected='教える'
answer_mismatch,id=0ce23bae-60b8-4e10-b7c2-97f4fba19b66 line=944 answer='教えています' expected='教える'
answer_mismatch,id=0ce23bae-60b8-4e10-b7c2-97f4fba19b66 line=945 answer='教えてくれます' expected='教える'
answer_mismatch,id=c3b48139-ebe4-49c3-b5c6-4b70cf84498d line=946 answer='ほうが' expected='ほうがいい'
answer_mismatch,id=c3b48139-ebe4-49c3-b5c6-4b70cf84498d line=947 answer='ほうが' expected='ほうがいい'
answer_mismatch,id=c3b48139-ebe4-49c3-b5c6-4b70cf84498d line=948 answer='ほうが' expected='ほうがいい'
answer_mismatch,id=2569c761-ea39-4c12-b62f-a689eb18edd0 line=955 answer='ください' expected='てください'
answer_mismatch,id=2569c761-ea39-4c12-b62f-a689eb18edd0 line=956 answer='ください' expected='てください'
answer_mismatch,id=2569c761-ea39-4c12-b62f-a689eb18edd0 line=957 answer='ください' expected='てください'
answer_mismatch,id=cb498119-92f5-4442-96ea-c0e3281cfd6d line=961 answer='いけない' expected='ちゃいけない・じゃいけない'
answer_mismatch,id=cb498119-92f5-4442-96ea-c0e3281cfd6d line=962 answer='いけない' expected='ちゃいけない・じゃいけない'
answer_mismatch,id=cb498119-92f5-4442-96ea-c0e3281cfd6d line=963 answer='いけない' expected='ちゃいけない・じゃいけない'
answer_mismatch,id=69e00c21-84ae-44bd-b595-40e76049be94 line=976 answer='まだしていません' expected='まだ〜ていません'
answer_mismatch,id=69e00c21-84ae-44bd-b595-40e76049be94 line=977 answer='まだ見ていません' expected='まだ〜ていません'
answer_mismatch,id=69e00c21-84ae-44bd-b595-40e76049be94 line=978 answer='まだ食べていません' expected='まだ〜ていません'
answer_mismatch,id=9cb66291-19bf-4c79-91a9-8c240e2c2e7c line=982 answer='生まれた' expected='生まれる'
answer_mismatch,id=9cb66291-19bf-4c79-91a9-8c240e2c2e7c line=984 answer='生まれます' expected='生まれる'
answer_mismatch,id=591589f1-3cd3-49ce-a6d1-7e92a8ceb1a2 line=994 answer='ごろ' expected='ころ; ごろ'
answer_mismatch,id=591589f1-3cd3-49ce-a6d1-7e92a8ceb1a2 line=995 answer='ころ' expected='ころ; ごろ'
answer_mismatch,id=591589f1-3cd3-49ce-a6d1-7e92a8ceb1a2 line=996 answer='ごろ' expected='ころ; ごろ'
answer_mismatch,id=9d775b5d-fee0-4ca7-bbf9-4d6af11bd0bb line=1006 answer='いいです' expected='てもいいです'
answer_mismatch,id=9d775b5d-fee0-4ca7-bbf9-4d6af11bd0bb line=1007 answer='いいです' expected='てもいいです'
answer_mismatch,id=9d775b5d-fee0-4ca7-bbf9-4d6af11bd0bb line=1008 answer='いいです' expected='てもいいです'
answer_mismatch,id=328be9e3-97d8-4d65-9e9b-4210b8754102 line=1013 answer='きませんか' expected='ませんか'
answer_mismatch,id=328be9e3-97d8-4d65-9e9b-4210b8754102 line=1014 answer='みませんか' expected='ませんか'
answer_mismatch,id=e8c483c1-6255-40cf-919f-51b11cf288d9 line=1024 answer='です' expected='だ・です'
answer_mismatch,id=e8c483c1-6255-40cf-919f-51b11cf288d9 line=1025 answer='だ' expected='だ・です'
answer_mismatch,id=e8c483c1-6255-40cf-919f-51b11cf288d9 line=1026 answer='です' expected='だ・です'
answer_mismatch,id=c8d63842-9df0-4442-be88-7d045107a271 line=1042 answer='日本の' expected='は'
answer_mismatch,id=c8d63842-9df0-4442-be88-7d045107a271 line=1043 answer='とても' expected='は'
answer_mismatch,id=c8d63842-9df0-4442-be88-7d045107a271 line=1044 answer='とても' expected='は'
answer_mismatch,id=09c1bb27-b1f2-4568-9f49-038c677758e8 line=1153 answer='語' expected='～語'
answer_mismatch,id=09c1bb27-b1f2-4568-9f49-038c677758e8 line=1154 answer='語' expected='～語'
answer_mismatch,id=09c1bb27-b1f2-4568-9f49-038c677758e8 line=1155 answer='語' expected='～語'
answer_mismatch,id=460f64c7-a442-4416-a2e0-2c733773f5f9 line=1162 answer='じゃあ' expected='じゃ; じゃあ'
answer_mismatch,id=460f64c7-a442-4416-a2e0-2c733773f5f9 line=1163 answer='じゃあ' expected='じゃ; じゃあ'
answer_mismatch,id=460f64c7-a442-4416-a2e0-2c733773f5f9 line=1164 answer='じゃあ' expected='じゃ; じゃあ'
answer_mismatch,id=ce8c3627-0a98-4288-852b-1885d7c72d4e line=1189 answer='しないで' expected='ないで'
answer_mismatch,id=ce8c3627-0a98-4288-852b-1885d7c72d4e line=1190 answer='食べないで' expected='ないで'
answer_mismatch,id=a5c86e22-1a88-4d2c-b6fa-186325e594db line=1195 answer='母' expected='お～'
answer_mismatch,id=a5c86e22-1a88-4d2c-b6fa-186325e594db line=1196 answer='茶' expected='お～'
answer_mismatch,id=a5c86e22-1a88-4d2c-b6fa-186325e594db line=1197 answer='店' expected='お～'
answer_mismatch,id=6653aa51-f139-4d67-b79b-1ad6e476b49d line=1201 answer='どうですか' expected='はどうですか'
answer_mismatch,id=6653aa51-f139-4d67-b79b-1ad6e476b49d line=1202 answer='どうですか' expected='はどうですか'
answer_mismatch,id=6653aa51-f139-4d67-b79b-1ad6e476b49d line=1203 answer='どうですか' expected='はどうですか'
answer_mismatch,id=29ea9cba-ba0b-44ef-91e3-22bbd2a0bc01 line=1213 answer='さん' expected='～さん'
answer_mismatch,id=29ea9cba-ba0b-44ef-91e3-22bbd2a0bc01 line=1214 answer='さん' expected='～さん'
answer_mismatch,id=29ea9cba-ba0b-44ef-91e3-22bbd2a0bc01 line=1215 answer='さん' expected='～さん'
answer_mismatch,id=aea0d7b0-5c2a-4857-9d2d-932a5edfb9a3 line=1216 answer='なのです' expected='のです'
answer_mismatch,id=aea0d7b0-5c2a-4857-9d2d-932a5edfb9a3 line=1218 answer='なのです' expected='のです'
answer_mismatch,id=58082056-52a2-4f66-a7f5-d3dc861f73dd line=1219 answer='と思います' expected='なあ'
answer_mismatch,id=58082056-52a2-4f66-a7f5-d3dc861f73dd line=1220 answer='と思う' expected='なあ'
answer_mismatch,id=58082056-52a2-4f66-a7f5-d3dc861f73dd line=1221 answer='と思った' expected='なあ'
answer_mismatch,id=e1318cd0-0a3f-4e9e-9e8c-fda4600ad1a4 line=1243 answer='日本人' expected='も'
answer_mismatch,id=e1318cd0-0a3f-4e9e-9e8c-fda4600ad1a4 line=1244 answer='好き' expected='も'
answer_mismatch,id=e1318cd0-0a3f-4e9e-9e8c-fda4600ad1a4 line=1245 answer='面白い' expected='も'
answer_mismatch,id=e00b982d-4ee1-497a-8f57-a8c53788afd0 line=1246 answer='そうです' expected='そう; そうです'
answer_mismatch,id=e00b982d-4ee1-497a-8f57-a8c53788afd0 line=1247 answer='そうです' expected='そう; そうです'
answer_mismatch,id=e00b982d-4ee1-497a-8f57-a8c53788afd0 line=1248 answer='そうです' expected='そう; そうです'
answer_mismatch,id=b6cdf8e6-6c31-457d-878a-e90b26335638 line=1258 answer='学生' expected='んです'
answer_mismatch,id=b6cdf8e6-6c31-457d-878a-e90b26335638 line=1259 answer='雨' expected='んです'
answer_mismatch,id=b6cdf8e6-6c31-457d-878a-e90b26335638 line=1260 answer='本' expected='んです'
answer_mismatch,id=f19a5e2d-4073-4a06-8010-17003590d507 line=1264 answer='そして' expected='そうして; そして'
answer_mismatch,id=f19a5e2d-4073-4a06-8010-17003590d507 line=1265 answer='そうして' expected='そうして; そして'
answer_mismatch,id=f19a5e2d-4073-4a06-8010-17003590d507 line=1266 answer='そして' expected='そうして; そして'
answer_mismatch,id=2392cfe8-fdc0-494a-9f01-2b2535ddc843 line=1270 answer='置いてある' expected='てある'
answer_mismatch,id=2392cfe8-fdc0-494a-9f01-2b2535ddc843 line=1271 answer='ある' expected='てある'
answer_mismatch,id=2392cfe8-fdc0-494a-9f01-2b2535ddc843 line=1272 answer='置いてある' expected='てある'
answer_mismatch,id=fd696251-cc6a-4e23-929e-7c7ccaf08fc2 line=1276 answer='三' expected='かかる'
answer_mismatch,id=fd696251-cc6a-4e23-929e-7c7ccaf08fc2 line=1277 answer='千' expected='かかる'
answer_mismatch,id=fd696251-cc6a-4e23-929e-7c7ccaf08fc2 line=1278 answer='十分' expected='かかる'
answer_mismatch,id=0274ce56-59c7-488d-aa79-475da89f096a line=1282 answer='友達' expected='後'
answer_mismatch,id=0274ce56-59c7-488d-aa79-475da89f096a line=1283 answer='テレビ' expected='後'
answer_mismatch,id=0274ce56-59c7-488d-aa79-475da89f096a line=1284 answer='買い物' expected='後'
answer_mismatch,id=abe32a3a-1853-4376-a865-06558ad19414 line=1291 answer='か' expected='か〜か'
answer_mismatch,id=abe32a3a-1853-4376-a865-06558ad19414 line=1292 answer='か' expected='か〜か'
answer_mismatch,id=abe32a3a-1853-4376-a865-06558ad19414 line=1293 answer='か' expected='か〜か'
answer_mismatch,id=19025bf5-2129-453b-83b6-471ac9223708 line=1303 answer='始め' expected='初め; 始め'
answer_mismatch,id=19025bf5-2129-453b-83b6-471ac9223708 line=1304 answer='始め' expected='初め; 始め'
answer_mismatch,id=19025bf5-2129-453b-83b6-471ac9223708 line=1305 answer='初め' expected='初め; 始め'
