question,duplicate_type,line_numbers,flashcard_ids
私の部屋には____があります。,cross_id,65;391;1785,68a5a64c-f12d-47e5-8d51-bcb2464704dc;b39928be-3c03-4047-85b5-3b3af5952f2f;e90690a5-7175-4062-b334-09e817d34a18
____の上に本があります。,cross_id,67;1678,e6489e0d-d7fc-48ae-aa8d-06a0288c23a1;e90690a5-7175-4062-b334-09e817d34a18
彼女は____な人です。,cross_id,70;1795,4eda70ac-1916-459e-a252-ed5e7afda416;b7b21a85-51d2-4f4a-af8e-aef2f4dff810
この道は____です。,cross_id,71;2349,01b74774-6311-477a-9485-a72c11fbd752;ab4c9df4-9cff-418f-a45b-ce67a900ed64
子供たちは____で遊んでいます。,cross_id,74;777;1341;1827;2295,01ac79ae-23cf-4131-aac7-ea7dbc157fc2;0b2a9827-c044-4b6f-87ea-e2a3fb9c3758;700c76df-aded-447f-97bb-560a1e989eff;aa0286df-eb9e-4a89-b876-8628a224846e;df635160-d335-4acb-a0ae-d09df4a0dda0
私の家の近くに____があります。,cross_id,75;502;508;1024,64a3b264-98cd-4a40-8044-72b924cedd24;700c76df-aded-447f-97bb-560a1e989eff;c285426b-b4f5-4a77-81ed-55c6e4bd69e9;fc5baf64-877d-4bed-a63a-de7c54ee7e72
夏に____で泳ぎたいです。,cross_id,76;2296,0b2a9827-c044-4b6f-87ea-e2a3fb9c3758;700c76df-aded-447f-97bb-560a1e989eff
この問題は____です。,cross_id,83;101,77732b54-b932-4a39-920e-e0dbb62ed183;ce50e468-efbb-4fd8-92a9-3577700cdc1b
あの____は先生です。,cross_id,86;463,268e9cf7-0899-42d9-859a-70b660e2ce28;4f013eef-9d0d-410d-a2e7-992c67f2a9a7
私は____が好きです。,cross_id,90;372;397;895;923;1619;1828;2362,285a6666-5e34-4f61-8043-3086f25ffa18;4c9eac8a-fd81-483d-9c2c-1de3bee37c0f;506234ae-2b91-4a1b-8c24-3b0b5553c597;7fe94545-b73d-4c8f-888f-ba2d1fc2a654;8a1238fd-6843-415d-a6ab-858fea404a1b;aa0286df-eb9e-4a89-b876-8628a224846e;af1c0696-5afe-4f05-a325-8ca711b918b4;d4034713-617e-4ad6-b207-bddb45329b1e
私の____は青いです。,cross_id,96;360;1653;1761,300f7d36-1319-4bda-8a4c-d129970d437e;927a3a5d-68b4-4826-aaba-96b566d878c6;a26fd84e-cf85-4102-8b37-85cda61ad9a0;fe2382eb-8ec5-4b95-ba15-53a7d3030e09
彼は____を持っています。,cross_id,98;527;881;1751,064b7e24-fe53-4ad5-93a4-29a3f1ae087d;2b80638b-9dcf-40e6-a048-c58b672d424f;935777f1-e2bf-4fd1-ac27-fe3b63ea3d01;f7938391-871b-41ca-8764-18ef0c135ac7
今日は____です。,cross_id,104;167;590;695,298aeb68-d91e-4926-8b8b-9404fb327153;5cd6d3d6-cecd-40bd-a25d-4c91e1ef7fd0;7d0050a1-d58b-462e-a3fd-47dfc6bb1589;8b386a7b-3b70-41ec-a25e-0a760701c2cf
このペンは____です。,cross_id,111;1688,21b67a2f-f28c-4c65-9736-1b93db9976ff;a5fc19c7-d48b-4d94-ae2f-e7137f2dc123
彼の____はとても優しいです。,cross_id,113;1947,3ddd6c0e-7044-4c47-8b8d-4a86a100df41;bfca3dfe-68f7-4aca-b2cb-181ad4f5894a
この本は____です。,cross_id,116;146;608;718;1526;2246,40ea1850-039a-4a9f-84e1-e0d2d2701e5d;5501caa6-2087-40ca-a817-e319c068d844;55793a01-166c-484e-b28f-b2896427a538;c05f739c-9ce9-474a-9358-927d40cb4cb8;d3d293b6-d72d-4dd1-ad7b-72c416c72029;f4b18f6e-f6df-4dab-b40a-80856aa0dd6f
彼の話はとても____です。,cross_id,117;1527,5501caa6-2087-40ca-a817-e319c068d844;f4b18f6e-f6df-4dab-b40a-80856aa0dd6f
この部屋は____です。,cross_id,124;1502;1548;1685;1721;1778;2306,3d3102fd-60e6-4b08-ae78-0f192321de1a;41cf1f11-4363-4936-a374-d5efafeeaaaf;514d776f-d0f3-4ea6-a240-327b63fc5f11;6d2fd9a7-fe23-48ef-a285-d77f95342f7f;70bf0210-651b-4c86-91ff-ec198a1d43ab;b2d81fc3-2ceb-4eb0-9e1b-170e7b949575;decea9e5-8423-4226-bd71-614db0e9363e
あの犬は____です。,cross_id,128;1550,dcc1bb69-8e96-48c4-8c1b-ca1c9414c2d8;e3fda17b-d347-4c03-94bb-621e4667c155
この花は____です。,cross_id,130;2331,2d323895-9647-4b83-9681-6eb7b41fa227;e3fda17b-d347-4c03-94bb-621e4667c155
この映画は____です。,cross_id,131;162;2252;2276,6bf26084-d43c-4787-a200-c2c005464936;6c9db455-8d6c-4682-9117-05e4a699635c;884d51b1-eb89-42f3-92ec-a49e05510e9c;9626cfd2-89e6-48f5-8efb-136f5a8340fa
彼の犬は____です。,cross_id,134;152,817a2ef7-6ba4-4e86-9fc0-c6e89ee39ffe;fed9bae4-6faf-4117-8ecf-053167f02ae8
彼の車は____です。,cross_id,138;779;1552;1634;1775;2330,10dbe437-d3bc-4125-8e62-b6ef6702bf61;2d323895-9647-4b83-9681-6eb7b41fa227;384f4f5a-015d-48ea-b499-9fb9a64706ce;41be564b-0a1f-4911-a33b-eab0e3a9f478;6bce94e7-3861-48cd-86df-dfcd2af17718;dcc1bb69-8e96-48c4-8c1b-ca1c9414c2d8
彼の声はとても____です。,cross_id,147;1533,b4e7ebb7-eb66-4f08-b46d-156a68377e01;d3d293b6-d72d-4dd1-ad7b-72c416c72029
この____はとてもきれいです。,cross_id,159;385;1695;1710;1725;2319;2371,32fe60e4-a983-4175-aedf-c551797fc72a;3de15d8a-5120-45f3-92a2-f849ba2f4505;6138e07c-4f9e-4401-af78-05ed6966ba3c;83ceb78b-6374-4082-8d4b-13f90d2c6137;a228d6b1-2202-4864-ba0f-64464e1a7392;d0d44a66-7595-49e1-9259-56b9ebb31d1d;e6d8576a-f3a7-49a8-b3f4-7ffa03d4ebad
このケーキは____です。,cross_id,173;1640;1787,6f30490e-3113-45b4-a019-0c5871b1f1de;dc82f4f7-1dac-4788-b0d9-d6d62d1ef537;f630d364-69ac-46de-9c49-0b64e2dcc129
友達と____に行きます。,cross_id,194;842;896;1340;1835;2321,0d8823f4-4dbc-4d01-83cc-57535c288d83;2ca949be-29e6-4923-a0d1-843fac149bf7;7c9fe5a3-fde0-44bc-a388-6ff2070c1ed4;db15fe3c-d2e5-4362-a2a1-0174e015742c;df635160-d335-4acb-a0ae-d09df4a0dda0;effca5b8-8db5-4a1f-986a-95d7c3f4aea1
彼は本を____。,cross_id,200;263;2018;2081;2120;2126,017235eb-7614-4d6b-b79c-76b647685a25;2f0f4844-602f-4de6-a26a-873ee0966bbe;41015542-8f50-4739-bb12-80de5ee2e7fd;6b5ab61c-b170-4e38-9fa2-925d85fcfe7f;7789367f-fa85-48ec-a66d-731081b1052d;96533b80-089b-498c-bad9-2169952bf004
彼女は____本を読みます。,cross_id,205;249,8650b718-c133-43ad-9555-efd4cdd93648;d0a6f578-b6c8-4673-b545-8725743bb899
彼は____勉強します。,cross_id,212;1706,59aebb62-2772-4ded-85d1-66bda8949c27;cb5aa400-4076-47ac-9701-db0fdb841293
私は勉強____音楽を聞きます。,cross_id,215;266,06c2ba22-a11c-4b88-922c-20820fe5da3b;7596f227-e76d-47c0-b8fd-22a6a96d7239
私は日本語を____。,cross_id,218;2147,182830c9-9648-41b4-933b-1f9f4304fa69;e6abe0cc-3377-43a4-ba84-bbd34e9c1e52
彼はギターを____。,cross_id,224;2148,182830c9-9648-41b4-933b-1f9f4304fa69;2b6f5457-0d3a-4354-b29d-4bff90855bf9
友達と一緒に____のが好きです。,cross_id,240;345;2161,9b3c1132-01c7-42c2-8f5a-b9665ecd60a9;a75e34e0-4341-465f-8979-fd1904b3e474;de6b4218-051b-4dfd-a499-699304dfe9e1
明日は____です。,cross_id,260;1367;1910;2000;2114,0349cadc-b8e3-4afa-807e-f620a316aa35;2a5bbb6b-9c3d-4462-8f20-73f23c79fca9;32345fca-b07d-49e0-b200-bacb68af58eb;e5f5b643-8ae8-4814-a5d2-d812c7c95aeb;f087a2cc-b806-4db1-8458-ec2a8b2084fd
彼は学校に____。,cross_id,290;498,33a0fbd5-78f2-4f8e-a23e-4fa1903eb859;5f888cd6-2526-4180-86da-db6338023439
この____はとても大きいです。,cross_id,301;1765;2373,7ee6fe3b-8efe-4988-8d51-f2425df24683;899f1370-440b-4539-af18-87dafa95ac0f;8e363f18-c36f-4828-a725-572dc52149ec
この本は____面白いです。,cross_id,355;1574,4c7e51c9-285c-44fa-a13d-66f90574ba14;6e7d9e46-a5d3-4e26-b7cd-b972f15f6673
____はとてもきれいです。,cross_id,357;1732,57c136d9-e694-45b6-b5a4-25d8c7f248ee;f2455b7e-45b4-4e0f-9da5-45bc4d6d2773
____に友達と会います。,cross_id,358;721;2095;2133;2175,0fdc8969-1a76-4658-bf2e-0da4c349dfaa;533d95e1-c6c7-4694-bd7e-146c1b0d708c;73a8ea79-58e8-401b-b9fb-3a11ce276a40;d2ce1285-d12e-46c9-a5d5-10f8118a7aef;f2455b7e-45b4-4e0f-9da5-45bc4d6d2773
空は____です。,cross_id,362;1703,a5379549-0170-43cb-a35d-4481d2520b54;c5f4b42c-ef0b-4c91-809c-40b3131024e5
私は新しい____を買いました。,cross_id,366;1131;1606;1735;2259,0329142d-7998-4a9b-8c28-d75375215c9f;41d576d9-a21f-4232-934f-d42955e7c43e;87bf3ebd-904f-4a2f-a587-0be537cae273;c0c3bc47-b129-4ac0-9dfc-8a538ec135bf;f07ed789-638c-4503-a598-269fdd6ac4d5
彼は____で勉強します。,cross_id,368;1676,5805df91-098a-44e1-a876-8831ab96c16d;e6489e0d-d7fc-48ae-aa8d-06a0288c23a1
私の____はとてもきれいです。,cross_id,369;1599,5805df91-098a-44e1-a876-8831ab96c16d;eec30366-db26-4657-bc76-6f5d6ebbd3ef
彼は____を洗います。,cross_id,374;1728,912c3419-f43b-48ee-b299-21e3c240d79e;e0a33dee-1ee3-4cdd-aad6-1b6b5c77fa2b
私の家はその____の近くにあります。,cross_id,400;514,1b9eb48b-e1a7-41fc-a587-50c71e6df442;2430e8b3-44bd-4320-956e-f2d7e1240056
猫はテーブルの____にいます。,cross_id,404;449,a740c19f-0eb6-4ff3-9426-2ac25e694631;dca90563-ee10-47c5-9299-2fec4f2b7e1f
彼は____にいます。,cross_id,407;521;1419,11bcefb2-b03a-4ecf-9cf3-ed852050b5bd;4a7cc695-d743-4e91-967c-f0241c6a9fde;b7cfb438-3383-4e0d-bfcd-a7cd37cb8ba7
私の家は駅の____にあります。,cross_id,409;454,4a7cc695-d743-4e91-967c-f0241c6a9fde;cfacdafd-6291-40cc-9693-66cca893d2b7
公園の____にベンチがあります。,cross_id,416;1820,1bfe332e-7719-4eeb-832e-a6fe77a401a6;8e0b6ad6-f8c7-4775-afee-2e9441ef38f6
私は毎日____を使います。,cross_id,421;1143,8ea11c13-1b83-4e41-9334-feccb201a846;b8ef80f6-208b-4a20-b6a6-15113845cd69
彼は____に行きます。,cross_id,425;443;488;509;1166;1397;1877,232b4c2a-a106-4ce8-b822-ce2a063eb3ad;76224d50-8b01-4c4f-b133-36dfd3db41e6;767b38f3-54db-42ab-a3ad-21ec95dd0cfc;7e3e06e9-a04c-484b-a10f-f42511c28a28;97a418bf-09a9-443c-be35-1b1a4d77f7f0;c5fa0ceb-66fb-4107-8d7c-3dbd77f680c7;d198f7a1-387b-4cd3-90e6-7a2ec5fc56a5
私の家は____にあります。,cross_id,427;444;486;524,4367fafc-9d23-4ebd-a45d-e279339cc455;5ac6cfc1-90c1-4592-bffe-848fc0ed0493;767b38f3-54db-42ab-a3ad-21ec95dd0cfc;c5fa0ceb-66fb-4107-8d7c-3dbd77f680c7
公園で____が遊んでいます。,cross_id,440;1046,9656ca0d-ee79-4fb9-88d3-df58dfb816c2;b4b6650a-a495-4544-b326-d42f9d8cc958
私の家の____に公園があります。,cross_id,458;522,8ba04e24-554d-4b8c-9c0b-2fb1cfda11e5;b7cfb438-3383-4e0d-bfcd-a7cd37cb8ba7
彼は____です。,cross_id,461;518;1035;1286;1370;1907;1958,268e9cf7-0899-42d9-859a-70b660e2ce28;33f84ad9-a6f3-44e7-8e8f-2aa4caa67f1b;72bc754d-c144-4694-89b5-7aadc549ee2e;924ec5fc-00b5-4792-9b66-c9768722ef51;9b210eda-c995-4793-898c-8ea585f071bb;c9f3f139-8f11-4ec8-bf08-b0238b7ee509;cf87c2e5-cd5e-4220-b38a-0305913b22ef
彼は____で遊んでいます。,cross_id,467;1096,0a9efe04-6751-41a2-b49c-b1a8f3ecef20;862f75f3-62cd-4ed4-9a90-03be824afabf
____はとても暑いです。,cross_id,469;1067;1312;1620,38bd4c6a-65b9-47fb-a0d2-47ae025a6dcc;4c9eac8a-fd81-483d-9c2c-1de3bee37c0f;53307bd4-4f50-4d0b-aa66-e00bcf186d42;862f75f3-62cd-4ed4-9a90-03be824afabf
私は____にいます。,cross_id,473;1358,25b2c4ff-a969-4a31-8c16-0c343ffffd74;6bda917a-af80-4013-9ae7-1862ddbe5e84
____はとても静かです。,cross_id,474;1159;1458,25b2c4ff-a969-4a31-8c16-0c343ffffd74;36a2249b-cc2e-477e-9bcb-488c65548b02;3c2da4eb-e630-4401-8c7c-8281a5fba4ca
私の誕生日は____です。,cross_id,476;536;546;592;656;672;679;720;2119;2132;2168;2174,0fdc8969-1a76-4658-bf2e-0da4c349dfaa;1ad39c15-effa-4237-9b86-26d1935783b3;3f1ee8f5-724e-4bd6-9322-63acd7f31d92;533d95e1-c6c7-4694-bd7e-146c1b0d708c;59936239-e621-4c38-8ba4-68a372749e13;644aea2a-3f69-4bc1-89c6-4d42a1354839;71552aaa-9b77-4582-8c0e-8b5ced0c7524;73a8ea79-58e8-401b-b9fb-3a11ce276a40;845817ae-b5db-43ed-b429-d7a792c036b9;8b386a7b-3b70-41ec-a25e-0a760701c2cf;b002471b-9efc-4e04-94e0-adf86606daf2;c4464426-7cc9-4807-8f47-15068c65cd9d
明日、____に行きます。,cross_id,491;903,33892e2b-6200-46e5-a564-2cb8bd22923d;f297fcb6-1d8a-4526-8ced-bbc4a1b8f8f5
彼は毎日____に行きます。,cross_id,500;1365;1841,30efca38-8ad9-4774-a77e-a824562a670b;c285426b-b4f5-4a77-81ed-55c6e4bd69e9;e7a3fbd0-283c-4b79-8b12-257d2b1b496b
学校の____は二階にあります。,cross_id,503;1385,929ff86e-4c3b-4a6f-8fab-2d35c45886e3;e7416505-2e79-41c6-b686-b321b9077d86
明日、____に乗ります。,cross_id,506;1344,e2914662-f6fc-46ab-b0ec-6cf7a17bbbd2;fc5baf64-877d-4bed-a63a-de7c54ee7e72
____はとても大きいです。,cross_id,511;1452;1837,6b88fd12-7ac2-4da0-ba9a-fa5d8665df46;7e3e06e9-a04c-484b-a10f-f42511c28a28;db15fe3c-d2e5-4362-a2a1-0174e015742c
彼は____円持っています。,cross_id,539;611;755,553d1056-7697-45cd-bb99-69f752b0484c;799d0d26-0d83-4390-9f73-6bccf736212c;95cf0b9a-ec9d-470c-9c12-11240bdd14cf
この本は____ページあります。,cross_id,540;756,553d1056-7697-45cd-bb99-69f752b0484c;95cf0b9a-ec9d-470c-9c12-11240bdd14cf
今月の____は日曜日です。,cross_id,545;719,533d95e1-c6c7-4694-bd7e-146c1b0d708c;59936239-e621-4c38-8ba4-68a372749e13
____後に友達に会います。,cross_id,547;673,3f1ee8f5-724e-4bd6-9322-63acd7f31d92;59936239-e621-4c38-8ba4-68a372749e13
今日は____日です。,cross_id,549;655;2234,5a838667-2032-46e9-adb0-41dcfbd49e92;c3d5d026-c7aa-461a-ac58-bdf56cf34e5d;cdcedc42-a50d-411f-99ea-768f2c224b69
彼は毎日____運動します。,cross_id,551;591,8b386a7b-3b70-41ec-a25e-0a760701c2cf;f4f2a40d-8369-4ac1-a239-02a22c631869
彼は____人の友達がいます。,cross_id,555;599;621;632;726,06941172-14ab-47f4-a374-a5c115a04c0d;86da28a3-0129-4f65-b749-2eb714f4dda4;a71628cb-a8fe-416e-9bb5-449ef1696d15;b8197600-c420-4c34-bed9-2be86081485e;cebe4cdc-3864-49a1-a6e0-a1eb73013f3e
テーブルの上に____の本があります。,cross_id,564;763;771,cbd91083-56b4-484f-8919-28598472b120;d0c18959-b2af-4553-9e16-ba7a91f0ff83;eaa15481-6550-4c30-991e-7fbe89b22ace
私は____の花を買いました。,cross_id,565;649,d0c18959-b2af-4553-9e16-ba7a91f0ff83;e9ffa557-51d7-4ccf-99ab-4a9188061450
彼は____の本を持っています。,cross_id,578;641;648,3becd3b1-81be-4046-9bf1-74aa25c10bbc;7693eaf5-b84b-4836-a17a-ba1aee246a38;e9ffa557-51d7-4ccf-99ab-4a9188061450
テーブルの上に____のリンゴがあります。,cross_id,580;647,7693eaf5-b84b-4836-a17a-ba1aee246a38;e9ffa557-51d7-4ccf-99ab-4a9188061450
犬が____走っています。,cross_id,582;1510,1f31fd11-84e7-425d-8f73-fde64c658435;bc130c61-b3a5-402b-9992-064a7b20b887
____で映画を見ました。,cross_id,589;732,626bcd5f-de9e-492f-832d-6feceb8fae1b;687146c7-45ab-451f-b3fd-bec79571b126
彼は____本の本を持っています。,cross_id,596;1689,3c68040a-fce7-4b9e-a402-62f21ba3c2ae;a5fc19c7-d48b-4d94-ae2f-e7137f2dc123
私の家族は____人です。,cross_id,597;622,3c68040a-fce7-4b9e-a402-62f21ba3c2ae;86da28a3-0129-4f65-b749-2eb714f4dda4
私は____つのりんごがあります。,cross_id,602;653,87f70b73-41de-46e9-9273-2604b170cd34;cdcedc42-a50d-411f-99ea-768f2c224b69
テーブルの上に____のりんごがあります。,cross_id,605;617;643,32750932-c132-482c-bf7b-bc3268f18d4c;3becd3b1-81be-4046-9bf1-74aa25c10bbc;3d9c6f84-88a3-4d77-a573-2a86214bb9d1
私は____の本を持っています。,cross_id,606;618,32750932-c132-482c-bf7b-bc3268f18d4c;3d9c6f84-88a3-4d77-a573-2a86214bb9d1
私は____を持っています。,cross_id,610;1729,c05f739c-9ce9-474a-9358-927d40cb4cb8;e0a33dee-1ee3-4cdd-aad6-1b6b5c77fa2b
私は____に友達と会います。,cross_id,636;715;2291,0b62fcd7-c7a4-410c-af4e-c47feb1e087f;13c9e933-3065-4ff6-af91-22d4a4d085f1;21bc0bb3-4cb6-4e13-b8e6-3a25c42858eb
私の家には____の犬がいます。,cross_id,642;762,3becd3b1-81be-4046-9bf1-74aa25c10bbc;cbd91083-56b4-484f-8919-28598472b120
彼は____歳です。,cross_id,654;711,8e489e54-1d17-4cb4-838f-9783e23abdc8;cdcedc42-a50d-411f-99ea-768f2c224b69
____は月曜日です。,cross_id,661;697;1069,38bd4c6a-65b9-47fb-a0d2-47ae025a6dcc;5cd6d3d6-cecd-40bd-a25d-4c91e1ef7fd0;da88c70b-b320-4905-8d81-360c97830ee7
私の犬は____かわいいです。,cross_id,667;1045,90fce158-731f-48e0-870f-0ee7f5e6ec3f;c8d63842-9df0-4442-be88-7d045107a271
この____はとても大切です。,cross_id,675;933,2b7bb015-3f77-4365-a811-37cee3d2718e;6da30140-92f4-40cf-a3a7-e0a2170fedce
私は____に友達に会います。,cross_id,696;698,5cd6d3d6-cecd-40bd-a25d-4c91e1ef7fd0;697e35f9-ef04-44ba-9763-bd92f4fc79e2
この本は____ですか？,cross_id,722;1393,83f191c9-9036-4167-829e-671aac174c20;90d376f7-9fde-4979-b8ec-fd282109c231
このシャツは____ですか？,cross_id,724;781,41be564b-0a1f-4911-a33b-eab0e3a9f478;90d376f7-9fde-4979-b8ec-fd282109c231
この映画は____面白いです。,cross_id,768;1280;1562,7494ee90-1c91-4ba3-80d5-72b38a97cee3;85c8c511-d671-4838-aa90-35aabdd39a66;f76d0754-9252-4c1a-b6fe-46d873452bda
夏に友達と____に行きます。,cross_id,776;812,01ac79ae-23cf-4131-aac7-ea7dbc157fc2;a64a0c07-2c9a-450b-9ea3-69f5d6314f41
彼は____がたくさんあります。,cross_id,791;1413,50a2bb61-34c7-486f-b219-1b06de9f428e;8f0273d6-3fe7-4482-a149-8acbb23c3d6f
宿題を____。,cross_id,794;941,0ae605d6-a7bd-41c9-b306-13debe9762a5;dbfa04a0-869f-4e3a-ae32-060a8333640e
毎朝、私は____を食べます。,cross_id,797;905;1683,086f7e2b-7cda-4316-9223-cd5f6f225664;bcd5d0e8-3ca3-46fb-82f4-ab67bcf7e74e;db91fdd2-beb0-4ff7-adf9-a935c28b9a0d
彼は____が好きです。,cross_id,798;830;884;889;911;1345;1488;1657;2094;2285,086f7e2b-7cda-4316-9223-cd5f6f225664;0d8c2e9a-99fc-46e1-8e34-cf42a0363029;4c533b4d-fb77-4263-b795-786fe7c76b33;71fa34e3-4b0d-477b-acdf-208e49d78042;9e75dbf0-2f5f-4445-97a1-05130d844358;d2ce1285-d12e-46c9-a5d5-10f8118a7aef;d917b89e-a47e-4d40-9d6e-1da39933a849;dad48d88-187f-4c38-abfc-b9f2bad153e7;e2914662-f6fc-46ab-b0ec-6cf7a17bbbd2;e8ab88a3-c9a9-4e18-b296-7e56ec1927b8
公園で____を見ました。,cross_id,804;1076;1922,40ed05de-c5d8-4d11-9642-86fceb0713ca;a2c5a5ad-9f94-4f93-991d-935c0fefaf08;a688b6d7-b953-4c28-9246-d7b1f5fd71fa
毎朝、私は____を飲みます。,cross_id,815;887;914,71fa34e3-4b0d-477b-acdf-208e49d78042;c5ae41f7-f9de-4c4b-8f92-a1a179eb3d71;d1f7eb80-c8ac-4a4a-a921-e638a6d00bfc
この店の____はとてもおいしいです。,cross_id,817;862,d1f7eb80-c8ac-4a4a-a921-e638a6d00bfc;ec1740fd-a7e0-4d59-a3c2-24238e06409e
彼は毎日____を作ります。,cross_id,818;878,5626c104-994b-4ced-af72-79f2158212f4;e4ce56d6-1ea3-41c3-b381-1ac41808aed4
私の好きな料理は____です。,cross_id,824;879,b3105598-0383-433c-a2e9-105aef60c103;e4ce56d6-1ea3-41c3-b381-1ac41808aed4
____はとてもおいしいです。,cross_id,826;925,7fe94545-b73d-4c8f-888f-ba2d1fc2a654;b3105598-0383-433c-a2e9-105aef60c103
このケーキには____が入っています。,cross_id,834;888,71fa34e3-4b0d-477b-acdf-208e49d78042;dd89ced9-8cd1-4dd2-ae4a-b96131943d55
この____はとてもおいしいです。,cross_id,841;916,2334a66c-0a68-4f32-b00b-ce13401117c7;c5ae41f7-f9de-4c4b-8f92-a1a179eb3d71
彼は____を開けました。,cross_id,866;1556;1577;2270,d55e142e-f72f-4351-af40-ddc577d2ec02;eb7eb375-8016-4369-b68b-cdd28d10eee7;f73fa629-02da-4378-87d1-454ecb764d6e;fdd13ab8-b411-4ccd-87e9-65d0fa94c8cc
____は忙しいです。,cross_id,869;1102,5c585090-5e0c-43cf-915e-47604005a1e3;de6ae147-e732-4f06-a1b9-1a5f2828992a
この____はとても安いです。,cross_id,873;1337,3f65aa26-259c-4e78-a034-ee8730d12b36;5d837794-26f0-4940-a614-3f558198af28
私は毎日____に行きます。,cross_id,874;1287,5d837794-26f0-4940-a614-3f558198af28;cf87c2e5-cd5e-4220-b38a-0305913b22ef
彼は____を買いました。,cross_id,875;1647,670ba06d-0dc4-4c9d-8e77-f03462980c33;ea1eefbe-9638-4d40-a0c8-add7ac8e06fb
友達と一緒に____を買いました。,cross_id,927;1050,21280e7f-49a3-43b3-8143-6281d523340e;2ec444f1-d695-44aa-a008-dedef9db8b87
私は____を買いました。,cross_id,931;1395;1702;1752;2304,064b7e24-fe53-4ad5-93a4-29a3f1ae087d;44c7487c-44ad-4523-b9fe-0afdf240e306;5ad046d8-17de-4e00-8691-cc77b4d25c1c;6994f12d-6a5f-47d7-8671-bba09edab222;a16bed18-53db-4294-b5ea-7b093ba9ba4c
私は日本語を話す____。,cross_id,969;1005,02d72574-5e12-4206-89d1-269af9ccb20d;6c598f89-1d68-4497-920a-bb2b6107e18c
