JLPT,Lesson,Kanji,Onyomi,Kunyomi,Meaning,Example Words,type
N5,1,日,にち,ひ,day/sun/Japan,日本(にほん): Japan; 日曜日(にちようび): Sunday; 今日(きょう): today,kanji
N5,8,七,しち,なな,seven,七月(しちがつ): July; 七人(しちにん): seven people; 七日(なのか): seventh day,kanji
N5,3,山,さん,やま,mountain,山(やま): mountain; 火山(かざん): volcano; 富士山(ふじさん): Mt. Fuji,kanji
N5,1,話,わ,はな,story/speak,話す(はなす): to speak; 電話(でんわ): telephone; 会話(かいわ): conversation,kanji
N5,3,女,じょ,おんな,woman/female,女(おんな): woman; 女の子(おんなのこ): girl; 彼女(かのじょ): she/girlfriend,kanji
N5,7,北,ほく,きた,north,北(きた): north; 北海道(ほっかいどう): Hokkaido; 北口(きたぐち): north exit,kanji
N5,5,午,ご,う,noon,午前(ごぜん): a.m.; 午後(ごご): p.m.; 正午(しょうご): noon,kanji
N5,8,百,ひゃく,もも,hundred,百(ひゃく): hundred; 百円(ひゃくえん): one hundred yen; 三百(さんびゃく): three hundred,kanji
N5,5,書,しょ,か,write/book,書く(かく): to write; 辞書(じしょ): dictionary; 図書館(としょかん): library,kanji
N5,4,先,せん,さき,before/previous,先生(せんせい): teacher; 先月(せんげつ): last month; 先(さき): ahead,kanji
N5,3,名,めい,な,name/famous,名前(なまえ): name; 有名(ゆうめい): famous; 名(な): name,kanji
N5,3,川,せん,かわ,river,川(かわ): river; 小川(おがわ): stream; 川口(かわぐち): rivermouth,kanji
N5,8,千,せん,ち,thousand,千(せん): thousand; 千円(せんえん): one thousand yen; 三千(さんぜん): three thousand,kanji
N5,9,水,すい,みず,water,水(みず): water; 水曜日(すいようび): Wednesday; 水道(すいどう): water supply,kanji
N5,5,半,はん,なか,half,半分(はんぶん): half; 半年(はんとし): half a year; 一時半(いちじはん): 1:30,kanji
N5,3,男,だん,おとこ,man/male,男(おとこ): man; 男の子(おとこのこ): boy; 男性(だんせい): male,kanji
N5,7,西,せい,にし,west,西(にし): west; 西口(にしぐち): west exit; 西洋(せいよう): the West,kanji
N5,3,電,でん,でん,electricity,電車(でんしゃ): train; 電気(でんき): electricity; 電話(でんわ): telephone,kanji
N5,1,校,こう,–,school,高校(こうこう): high school; 小学校(しょうがっこう): elementary school; 中学校(ちゅうがっこう): middle school,kanji
N5,1,語,ご,かたる,word/language,日本語(にほんご): Japanese; 英語(えいご): English; 中国語(ちゅうごくご): Chinese,kanji
N5,3,土,ど,つち,soil/earth,土(つち): soil; 土曜日(どようび): Saturday; 土地(とち): land,kanji
N5,3,木,ぼく,き,tree/wood,木(き): tree; 木曜日(もくようび): Thursday; 大木(たいぼく): big tree,kanji
N5,6,聞,ぶん,き,hear/listen,聞く(きく): to listen; 新聞(しんぶん): newspaper; 聞こえる(きこえる): can be heard,kanji
N5,9,食,しょく,たべ,eat/food,食べる(たべる): to eat; 食べ物(たべもの): food; 食堂(しょくどう): cafeteria,kanji
N5,3,車,しゃ,くるま,car,車(くるま): car; 電車(でんしゃ): train; 自転車(じてんしゃ): bicycle,kanji
N5,1,何,か,なに,what,何時(なんじ): what time; 何人(なんにん): how many people; 何か(なにか): something,kanji
N5,8,南,なん,みなみ,south,南(みなみ): south; 南口(みなみぐち): south exit; 南国(なんごく): southern country,kanji
N5,8,万,まん,–,ten thousand,万(まん): ten thousand; 一万(いちまん): ten thousand; 十万(じゅうまん): one hundred thousand,kanji
N5,5,毎,まい,ごと,each/every,毎日(まいにち): every day; 毎週(まいしゅう): every week; 毎回(まいかい): every time,kanji
N5,3,白,はく,しろ,white,白(しろ): white color; 白い(しろい): white; 真っ白(まっしろ): pure white,kanji
N5,3,天,てん,あま,heaven/sky,天気(てんき): weather; 天国(てんごく): heaven; 天(てん): sky/heavens,kanji
N5,4,母,ぼ,はは,mother,母(はは): mother; お母さん(おかあさん): mother; 母の日(ははのひ): Mother's Day,kanji
N5,3,火,か,ひ,fire,火曜日(かようび): Tuesday; 火山(かざん): volcano; 火事(かじ): fire (accident),kanji
N5,7,右,う,みぎ,right,右(みぎ): right; 右側(みぎがわ): right side; 右手(みぎて): right hand,kanji
N5,5,読,どく,よ,read,読む(よむ): to read; 読み方(よみかた): way of reading; 読書(どくしょ): reading,kanji
N5,4,友,ゆう,とも,friend,友(とも): friend; 友達(ともだち): friend; 親友(しんゆう): best friend,kanji
N5,7,左,さ,ひだり,left,左(ひだり): left; 左側(ひだりがわ): left side; 左手(ひだりて): left hand,kanji
N5,5,休,きゅう,やす,rest,休む(やすむ): to rest; 休み(やすみ): holiday/break; 休日(きゅうじつ): holiday,kanji
N5,4,父,ふ,ちち,father,父(ちち): father; お父さん(おとうさん): father; 父の日(ちちのひ): Father’s Day,kanji
N5,3,雨,う,あめ,rain,雨(あめ): rain; 大雨(おおあめ): heavy rain; 梅雨(つゆ): rainy season,kanji
