JLPT,Word,Reading,Meaning,Word Type,Example Sentence JP,Example Sentence EN
N5,～円,～えん,Yen (the currency of Japan),Noun,このリンゴは三百円です。,This apple is 300 yen.
N5,鉛筆,えんぴつ,pencil,Noun,私は鉛筆で絵を描きます。,I draw pictures with a pencil.
N5,お～,お～,honorable ~ (used as an honorific prefix),Noun (prefix),お名前は何ですか？,What is your honorable name?
N5,美味しい,おいしい,"delicious, tasty",I-adjective (keiyoushi),このケーキは美味しいです。,This cake is delicious.
N5,多い,おおい,many; there are a lot,I-adjective (keiyoushi),りんごが多いです。,There are many apples.
N5,大きい,おおきい,"big, large",I-adjective (keiyoushi),この犬は大きいです。,This dog is big.
N5,大きな,おおきな,big,Pre-noun adjectival (rentaishi),大きな犬が公園にいます。,There is a big dog in the park.
N5,大勢,おおぜい,a large number of people,Noun,公園に大勢の人がいます。,There are a large number of people in the park.
N5,お母さん,おかあさん,mother,Noun,お母さんは料理が上手です。,My mother is good at cooking.
N5,お菓子,おかし,"sweets, snacks, or confections",Noun,私はお菓子が好きです。,I like sweets.
N5,お金,おかね,money,Noun,お金がありません。,I don't have money.
N5,起きる,おきる,"to get up (e.g., from sleeping); to wake up",Ichidan verb,私は毎朝7時に起きる。,I get up at 7 o'clock every morning.
N5,置く,おく,to put; to lay; to place,Godan verb with 'ku' ending,本をテーブルの上に置く。,I put the book on the table.
N5,奥さん,おくさん,(someone else's) wife (honorific),Noun,彼の奥さんはとても優しいです。,His wife is very kind.
N5,お酒,おさけ,sake; alcohol; alcoholic beverage,Noun,私はお酒が好きです。,I like alcohol.
N5,お皿,おさら,"plate, dish",Noun,お皿にご飯を盛ります。,I will serve rice on the plate.
N5,伯父; 叔父さん,おじさん,uncle,Noun,おじさんはとても優しいです。,My uncle is very kind.
N5,おじいさん,おじいさん,"grandfather, elderly man",Noun,おじいさんは公園で散歩しています。,My grandfather is taking a walk in the park.
N5,教える,おしえる,"to teach, to inform, to instruct",Ichidan verb,先生は私に日本語を教えています。,The teacher is teaching me Japanese.
N5,押す,おす,"to push, to press",Godan verb with 'su' ending,ボタンを押してください。,Please press the button.
N5,遅い,おそい,slow; late,I-adjective (keiyoushi),彼は遅いです。,He is slow.
N5,お茶,おちゃ,(green) tea,Noun,私はお茶が好きです。,I like (green) tea.
N5,お手洗い,おてあらい,"toilet, restroom, bathroom (a place to wash one's hands)",Noun,お手洗いはどこですか？,Where is the restroom?
N5,お父さん,おとうさん,"father (informal, used by children)",Noun,お父さんは仕事に行きました。,My father went to work.
N5,弟,おとうと,younger brother,Noun,私の弟はサッカーが好きです。,My younger brother likes soccer.
N5,男,おとこ,"man, male",Noun,あの男は先生です。,That man is a teacher.
N5,男の子,おとこのこ,boy,Noun,男の子が公園で遊んでいます。,The boy is playing in the park.
N5,一昨日,おととい,the day before yesterday,Noun,一昨日、友達と映画を見ました。,"The day before yesterday, I watched a movie with my friend."
N5,おととし,おととし,the year before last,Noun,おととし、私は日本に行きました。,"The year before last, I went to Japan."
N5,大人,おとな,adult,Noun,彼は大人です。,He is an adult.
N5,お腹,おなか,stomach,Noun,お腹がすいたので、食べ物をください。,"I'm hungry, so please give me food."
N5,同じ,おなじ,"same, identical",Adjective (い-adjective),彼と私は同じです。,He and I are the same.
N5,お兄さん,おにいさん,(someone else's) older brother,Noun,お兄さんは優しいです。,My older brother is kind.
N5,お姉さん,おねえさん,older sister (polite),Noun,お姉さんは学生です。,My older sister is a student.
N5,伯母さん; 叔母さん,おばさん,aunt (referring to one's father's or mother's sister),Noun,私の伯母さんは料理が上手です。,My aunt is good at cooking.
N5,おばあさん,おばあさん,"grandmother, elderly woman",Noun,おばあさんは公園にいます。,The grandmother is in the park.
N5,お風呂,おふろ,a bath,Noun,毎晩お風呂に入ります。,I take a bath every night.
N5,お弁当,おべんとう,a boxed lunch,Noun,私はお弁当を持って学校に行きます。,I take a boxed lunch to school.
N5,覚える,おぼえる,"to learn, to remember, to memorize",Ichidan verb,私は新しい単語を覚えます。,I will memorize new words.
N5,おまわりさん,おまわりさん,friendly term for a policeman,Noun,おまわりさん、助けてください！,"Officer, please help me!"
N5,重い,おもい,heavy; serious,I-adjective (keiyoushi),この荷物は重いです。,This luggage is heavy.
N5,面白い,おもしろい,"interesting, fun",I-adjective (keiyoushi),この本は面白いです。,This book is interesting.
N5,泳ぐ,およぐ,to swim,Godan verb with 'gu' ending,私は海で泳ぎます。,I swim in the sea.
N5,降りる,おりる,to get off,Ichidan verb,バスを降りる。,I get off the bus.
N5,終る,おわる,"to finish, to end",Godan verb,授業が終ると、友達と遊びます。,"When the class finishes, I play with my friends."
N5,音楽,おんがく,Music,Noun,私は音楽が好きです。,I like music.
N5,女,おんな,"woman, female",Noun,あの女の人は先生です。,That woman is a teacher.
N5,女の子,おんなのこ,girl,Noun,女の子は公園で遊んでいます。,The girl is playing in the park.
N5,～回,～かい,counter for occurrences (~ times),Counter,私は日本に三回行きました。,I went to Japan three times.
N5,～階,～かい,counter for floors of a building,Noun,このビルは五階です。,This building has five floors.
N5,外国,がいこく,foreign country; abroad,Noun,私は外国に行きたいです。,I want to go abroad.
N5,外国人,がいこくじん,a person from another country,Noun,彼は外国人です。,He is a foreigner.
N5,会社,かいしゃ,"company, corporation",Noun,私は会社に行きます。,I will go to the company.
N5,階段,かいだん,stairs,Noun,階段を上がります。,I will go up the stairs.
N5,買い物,かいもの,shopping,Noun,私は買い物に行きます。,I will go shopping.
N5,買う,かう,to buy,Godan verb with 'u' ending,私は本を買います。,I will buy a book.
N5,返す,かえす,to return something,Godan verb with 'su' ending,私は本を返します。,I will return the book.
N5,帰る,かえる,"to go back, to go home, to return",Godan verb with 'ru' ending,学校から帰る。,I go home from school.
N5,顔,かお,face (the front part of the head),Noun,彼は大きな顔を持っています。,He has a big face.
N5,かかる,かかる,"it takes (amount of time, money) (v.i.)",Godan verb,この仕事は三時間かかります。,This job takes three hours.
N5,鍵,かぎ,a key,Noun,私は鍵を探しています。,I am looking for my key.
N5,書く,かく,to write,Godan verb with 'ku' ending,私は毎日日記を書きます。,I write in my diary every day.
N5,学生,がくせい,A person who studies at a school or university; student.,Noun,私は学生です。,I am a student.
N5,～か月,～かげつ,(number of) months,Counter,私は三か月日本語を勉強しています。,I have been studying Japanese for three months.
N5,掛ける,かける,"to put on (e.g., glasses); to hang (e.g., on a wall)",Ichidan verb,彼は眼鏡を掛けています。,He is wearing glasses.
N5,かける,かける,"to dial/call (e.g., phone); to hang (something) up; to sit down",Ichidan verb,電話をかけます。,I will make a phone call.
N5,傘,かさ,"umbrella, parasol",Noun,雨が降るので、傘を持って行きます。,"It's going to rain, so I will take an umbrella."
N5,貸す,かす,to lend,Godan verb with 'su' ending,友達に本を貸しました。,I lent a book to my friend.
N5,風,かぜ,"wind, breeze",Noun,今日は風が強いです。,The wind is strong today.
N5,風邪,かぜ,cold (illness),Noun,私は風邪をひいています。,I have a cold.
N5,方,かた,way of doing; honorific form for person (人),Noun,あの方は先生です。,That person is a teacher.
N5,家族,かぞく,family,Noun,私の家族はとても仲がいいです。,My family is very close.
N5,片仮名,かたかな,katakana (a Japanese syllabary used for foreign words and names),Noun,カタカナは外国の言葉を書くときに使います。,Katakana is used to write foreign words.
N5,～月,～がつ,month,Noun,私は四月に生まれました。,I was born in April.
N5,学校,がっこう,a school,Noun,私は学校に行きます。,I go to school.
N5,カップ,カップ,a cup,Noun,私はカップで水を飲みます。,I drink water from a cup.
N5,家庭,かてい,home; family,Noun,私の家庭はとても大切です。,My family is very important.
N5,角,かど,"corner (e.g., of a street or room)",Noun,公園の角で友達に会いました。,I met my friend at the corner of the park.
N5,かばん,かばん,"bag, backpack",Noun,私は新しいかばんを買いました。,I bought a new bag.
N5,花瓶,かびん,(flower) vase,Noun,テーブルの上に花瓶があります。,There is a vase on the table.
N5,かぶる,かぶる,"to wear (a hat, etc.)",Godan verb with 'ru' ending,私は帽子をかぶります。,I will wear a hat.
N5,紙,かみ,paper,Noun,私は紙を買いました。,I bought paper.
N5,カメラ,カメラ,camera,Noun,私はカメラで写真を撮ります。,I take pictures with a camera.
N5,火曜日,かようび,Tuesday,Noun,火曜日に学校に行きます。,I will go to school on Tuesday.
N5,辛い,からい,spicy; hot (in taste),I-adjective (keiyoushi),このカレーは辛いです。,This curry is spicy.
N5,体,からだ,body; health,Noun,私の体は元気です。,My body is healthy.
N5,借りる,かりる,to borrow,Ichidan verb,私は友達から本を借りる。,I borrow a book from my friend.
N5,軽い,かるい,"light, not heavy",I-adjective (keiyoushi),このバッグは軽いです。,This bag is light.
N5,カレー,カレー,"curry (a popular dish in Japan, often served with rice)",Noun,私はカレーが好きです。,I like curry.
N5,カレンダー,カレンダー,カレンダーは日付や予定を確認するためのものです。,Noun,私はカレンダーを見ます。,I look at the calendar.
N5,～側,～がわ,~ side,Noun,私の家は川の側にあります。,My house is by the river.
N5,可愛い,かわいい,"cute, adorable",I-adjective (keiyoushi),この犬は可愛いです。,This dog is cute.
N5,漢字,かんじ,kanji; Chinese character,Noun,私は漢字を勉強しています。,I am studying kanji.
N5,木,き,tree; wood,Noun,公園に大きな木があります。,There is a big tree in the park.
N5,黄色,きいろ,yellow,Noun,黄色が好きです。,I like yellow.
N5,黄色い,きいろい,yellow,I-adjective (keiyoushi),この花は黄色いです。,This flower is yellow.
N5,消える,きえる,to disappear,Ichidan verb,星が消えた。,The star disappeared.
N5,聞く,きく,"to hear, to listen, to ask",Godan verb with 'ku' ending,私は音楽を聞きます。,I listen to music.
N5,北,きた,north,Noun,私は北に行きます。,I will go north.
N5,ギター,ギター,a musical instrument with strings that is played by strumming or plucking,Noun,私はギターを弾きます。,I play the guitar.
N5,汚い,きたない,"dirty, unclean, filthy",I-adjective (keiyoushi),この部屋は汚いです。,This room is dirty.
N5,喫茶店,きっさてん,a place where you can drink coffee and tea; café,Noun,私は喫茶店でコーヒーを飲みます。,I drink coffee at the café.
N5,切手,きって,postage stamps,Noun,切手を買いました。,I bought postage stamps.
N5,切符,きっぷ,a ticket,Noun,駅で切符を買いました。,I bought a ticket at the station.
N5,昨日,きのう,yesterday,Noun,私は昨日映画を見ました。,I watched a movie yesterday.
N5,牛肉,ぎゅうにく,beef,Noun,私は牛肉が好きです。,I like beef.
N5,牛乳,ぎゅうにゅう,milk,Noun,私は毎朝牛乳を飲みます。,I drink milk every morning.
N5,今日,きょう,"today, this day",Noun,今日は学校に行きます。,I will go to school today.
N5,教室,きょうしつ,A room where classes are held; classroom.,Noun,私は教室にいます。,I am in the classroom.
N5,兄弟,きょうだい,siblings; brothers and sisters,Noun,私には兄弟が二人います。,I have two siblings.
N5,去年,きょねん,last year,Noun,去年は日本に行きました。,I went to Japan last year.
N5,嫌い,きらい,to dislike,Na-adjective (keiyodoshi),私は魚が嫌いです。,I dislike fish.
N5,切る,きる,to cut; to hang up (a phone),Godan verb,私は紙を切ります。,I will cut the paper.
N5,着る,きる,to put on (clothes above your waist); to wear,Ichidan verb,私はシャツを着る。,I put on a shirt.
N5,綺麗,きれい,"pretty, clean, tidy",Na-adjective (けいようどうし),この部屋はとても綺麗です。,This room is very pretty/clean.
N5,キロ; キログラム,キロ; キログラム,kilo (kilogram),Noun,りんごは1キロです。,The apple is 1 kilo.
N5,キロ; キロメートル,キロ; キロメートル,キロメートルの略語で、距離の単位です。,Noun,東京から大阪までの距離は約500キロです。,The distance from Tokyo to Osaka is about 500 kilometers.
N5,銀行,ぎんこう,a place where money is kept and managed; a financial institution,Noun,私は銀行に行きます。,I will go to the bank.
N5,金曜日,きんようび,Friday,Noun,金曜日に友達と会います。,I will meet my friend on Friday.
N5,薬,くすり,medicine,Noun,私は毎日薬を飲みます。,I take medicine every day.
N5,下さい,ください,(with te-form verb) please do (something) for me,Expression,水をください。,Please give me water.
N5,果物,くだもの,fruit,Noun,私は毎日果物を食べます。,I eat fruit every day.
N5,口,くち,mouth,Noun,私の口が渇いています。,My mouth is dry.
N5,靴,くつ,"shoes, footwear",Noun,私は新しい靴を買いました。,I bought new shoes.
N5,靴下,くつした,socks,Noun,私は新しい靴下を買いました。,I bought new socks.
N5,国,くに,country; place of origin,Noun,私の国は日本です。,My country is Japan.
N5,曇り,くもり,"cloudiness, cloudy weather",Noun,今日は曇りです。,Today is cloudy.
N5,曇る,くもる,"to become cloudy, to become dim",Godan verb with 'ru' ending,空が曇ると、雨が降るかもしれません。,"When the sky becomes cloudy, it might rain."
N5,暗い,くらい,"dark, gloomy",I-adjective (keiyoushi),部屋が暗いです。,The room is dark.
N5,クラス,クラス,a class,Noun,私は日本語のクラスに行きます。,I will go to Japanese class.
N5,グラム,グラム,gram,Noun,りんごは２００グラムです。,The apple is 200 grams.
N5,来る,くる,to come,Verb,友達が来る。,My friend is coming.
N5,車,くるま,"car, vehicle",Noun,私は車を持っています。,I have a car.
N5,黒,くろ,black,Noun,黒が好きです。,I like black.
N5,黒い,くろい,black; dark,I-adjective (keiyoushi),彼の車は黒いです。,His car is black.
N5,警官,けいかん,A police officer,Noun,警官は道を歩いています。,The police officer is walking on the road.
N5,今朝,けさ,this morning,Noun,今朝、私はパンを食べました。,"This morning, I ate bread."
N5,消す,けす,"to erase, to delete, to turn off (power)",Godan verb with 'su' ending,私は黒板を消します。,I will erase the blackboard.
N5,結構,けっこう,quite; fairly; enough,Na-adjective (keiyodoshi),このケーキは結構おいしいです。,This cake is quite delicious.
N5,結婚,けっこん (する),marriage (to get married),Noun (can also be used as a verb with する),彼は来年結婚します。,He will get married next year.
N5,月曜日,げつようび,Monday,Noun,月曜日に学校に行きます。,I go to school on Monday.
N5,玄関,げんかん,entrance (to a house or a building),Noun,玄関に靴を脱ぎます。,I take off my shoes at the entrance.
N5,元気,げんき,"healthy, energetic",Na-adjective (keiyodoshi),私は元気です。,I am healthy/energetic.
N5,～個,～こ,"counter for small items (e.g., fruits, cups)",Counter,りんごを三個買いました。,I bought three apples.
N5,五,ご,five,Numeric,私は五つのリンゴを持っています。,I have five apples.
N5,～語,～ご,language; word,Noun,日本語を勉強しています。,I am studying Japanese.
N5,公園,こうえん,a park,Noun,公園で遊びます。,I will play in the park.
N5,交差点,こうさてん,A place where two or more roads meet; an intersection.,Noun,あの交差点を右に曲がってください。,Please turn right at that intersection.
N5,紅茶,こうちゃ,black tea,Noun,私は毎朝紅茶を飲みます。,I drink black tea every morning.
N5,交番,こうばん,A small police station or police box where officers are stationed to assist the public.,Noun,交番で道を聞きました。,I asked for directions at the police box.
N5,声,こえ,voice,Noun,彼女の声はとてもきれいです。,Her voice is very beautiful.
N5,コート,コート,コートは、外で着る服の一種です。また、テニスなどのスポーツをする場所を指すこともあります。,Noun,今日は新しいコートを着て行きます。,I will wear my new coat today.
N5,コーヒー,コーヒー,coffee,Noun,私は毎朝コーヒーを飲みます。,I drink coffee every morning.
N5,ここ,ここ,"here, this place",Noun,ここにいます。,I am here.
N5,午後,ごご,"afternoon, P.M.",Noun,私は午後に友達と会います。,I will meet my friend in the afternoon.
N5,九日,ここのか,nine days; the ninth day of the month,Noun,今日は九日です。,Today is the ninth day.
N5,九つ,ここのつ,nine (things),Noun,リンゴが九つあります。,There are nine apples.
N5,午前,ごぜん,A.M. (before noon),Noun,私は午前に学校に行きます。,I go to school in the morning.
N5,答える,こたえる,"to answer, to reply",Ichidan verb,先生の質問に答える。,I answer the teacher's question.
N5,こちら,こちら,this way (polite); this person (polite),Pronoun,こちらに来てください。,Please come this way.
N5,こっち,こっち,this direction; this side,Pronoun,こっちに来てください。,Please come this way.
N5,コップ,コップ,a cup; a glass,Noun,水をコップに入れます。,I will put water in the glass.
N5,今年,ことし,this year,Noun,今年はたくさん旅行をしたいです。,I want to travel a lot this year.
N5,言葉,ことば,language; word; expression,Noun,日本語は美しい言葉です。,Japanese is a beautiful language.
N5,子供,こども,child(ren),Noun,子供が公園で遊んでいます。,The child is playing in the park.
N5,この,この,this (used before a noun to indicate something close to the speaker),Pre-noun adjectival (rentaishi),この本は面白いです。,This book is interesting.
N5,御飯,ごはん,cooked rice; meal,Noun,私は毎日御飯を食べます。,I eat rice (a meal) every day.
N5,コピーする,コピーする,to copy,Verb,私はこの資料をコピーします。,I will copy this document.
N5,困る,こまる,"to be troubled, to have difficulty",Godan verb with 'ru' ending,お金がなくて困っています。,I am troubled because I have no money.
N5,これ,これ,this one,Pronoun,これはペンです。,This is a pen.
N5,今月,こんげつ,this month,Noun,今月は忙しいです。,This month is busy.
N5,今週,こんしゅう,this week,Noun,今週はとても忙しいです。,This week is very busy.
N5,こんな,こんな,"such, like this",Pre-noun adjectival (rentaishi),こんな本が好きです。,I like books like this.
N5,今晩,こんばん,"tonight, this evening",Noun,今晩、友達と映画を見ます。,"Tonight, I will watch a movie with my friend."
N5,さあ,さあ,"come now, well, let's see",Interjection,さあ、始めましょう！,"Well, let's get started!"
N5,～歳,～さい,~ years old,Noun,彼は五歳です。,He is five years old.
N5,財布,さいふ,a small bag used to carry money and cards,Noun,私は財布を持っています。,I have a wallet.
N5,魚,さかな,fish,Noun,私は魚が好きです。,I like fish.
N5,先,さき,the future; the previous part,Noun,先に行きます。,I will go ahead.
N5,咲く,さく,to bloom,Godan verb with 'ku' ending,桜の花が咲く。,The cherry blossoms bloom.
N5,作文,さくぶん,essay; composition,Noun,私は学校で作文を書きました。,I wrote an essay at school.
N5,差す,さす,"to raise (stretch out) hands, to hold up (e.g., an umbrella)",Godan verb with 'su' ending,雨が降っているので、傘を差します。,"It's raining, so I will raise my umbrella."
N5,～冊,～さつ,counter for books,Counter,私は本を三冊買いました。,I bought three books.
N5,雑誌,ざっし,"magazine, journal",Noun,私は毎月雑誌を買います。,I buy a magazine every month.
N5,砂糖,さとう,sugar,Noun,コーヒーに砂糖を入れます。,I put sugar in my coffee.
N5,寒い,さむい,cold (in reference to weather),I-adjective (keiyoushi),今日は寒いです。,It is cold today.
N5,さ来年,さらいねん,the year after next,Noun,さ来年に旅行に行きます。,I will go on a trip the year after next.
N5,～さん,～さん,"Mr. ~, Ms. ~ (a polite suffix used after a person's name)",Noun,田中さんは学生です。,Mr. Tanaka is a student.
N5,三,さん,three,Numeric,りんごが三つあります。,There are three apples.
N5,散歩,さんぽ (する),"walk, stroll",Noun,毎朝散歩をします。,I take a walk every morning.
N5,四,し,four,Numeric,私は四つリンゴを持っています。,I have four apples.
N5,～時,～じ,~ o'clock (time),Noun,今は三時です。,It is three o'clock now.
N5,塩,しお,salt,Noun,料理に塩を入れます。,I add salt to the cooking.
